	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
eIF1.mRNAs.3.	2	0	1	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.acidification.14.	12	0.0833333333333333	0.833333333333333	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
BCL.2.family.14.	11	0.818181818181818	0.181818181818182	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
PKs.complex.13.	9	0.777777777777778	0.222222222222222	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.exocytosis.6.	4	0	0.75	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
AMPK.complex.8.	7	0.142857142857143	0.714285714285714	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.ARF.GTPase.activity.15.	13	0.153846153846154	0.692307692307692	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
selective.autophagy.cargo.receptors.10.	9	0.222222222222222	0.666666666666667	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
PolyA.binding.protein.mRNAs.3.	3	0.333333333333333	0.666666666666667	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
MTORC1.substrates.20.	20	0.35	0.65	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.membrane.9.	8	0.625	0.375	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
aktPathway.19.	13	0.615384615384615	0.384615384615385	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	7	0.428571428571429	0.571428571428571	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
endosome.to.lysosome.transport.10.	9	0.555555555555556	0.444444444444444	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
Docking.and.fusion.13.	11	0.181818181818182	0.545454545454545	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
post.Golgi.vesicle.mediated.transport.14.	11	0.272727272727273	0.545454545454545	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
alkPathway.37.	26	0.384615384615385	0.538461538461538	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.endocytosis.13.	13	0.538461538461538	0.307692307692308	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.proteolysis.23.	15	0.533333333333333	0.4	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
Negative.Regulator.of.Autophagy.23.	19	0.526315789473684	0.368421052631579	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
endocytosis.60.	56	0.5	0.446428571428571	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
Early.endosomal.compartment.12.	12	0.5	0.416666666666667	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
MTORC1.hyp.DOWNregulated.ALL.561.	302	0.423841059602649	0.486754966887417	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
deathPathway.33.	29	0.482758620689655	0.448275862068966	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
other.proteins.involved.in.autophagy.65.	56	0.482142857142857	0.375	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.AP.Formation.23.	22	0.363636363636364	0.454545454545455	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
AP.Core.62.	54	0.37037037037037	0.425925925925926	Up	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
protein.transport.40.	31	0.419354838709677	0.354838709677419	Down	9.99990000099999e-06	1.89653275881034e-05	9.99990000099999e-06	9.99990000099999e-06
