	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
PI3K.complex.12.	10	1	0	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
PKs.complex.13.	8	0.875	0.125	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
AMPK.complex.8.	7	0.142857142857143	0.857142857142857	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
BCL.2.family.14.	11	0.818181818181818	0.181818181818182	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.exocytosis.6.	4	0	0.75	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.ARF.GTPase.activity.15.	13	0.153846153846154	0.692307692307692	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
selective.autophagy.cargo.receptors.10.	9	0.222222222222222	0.666666666666667	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
PolyA.binding.protein.mRNAs.3.	3	0.333333333333333	0.666666666666667	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
aktPathway.19.	13	0.615384615384615	0.307692307692308	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.endocytosis.13.	13	0.615384615384615	0.307692307692308	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.proteolysis.23.	15	0.6	0.4	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Early.endosomal.compartment.12.	12	0.583333333333333	0.416666666666667	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
All.PI3K.genes.44.	35	0.571428571428571	0.257142857142857	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
endosome.to.lysosome.transport.10.	9	0.555555555555556	0.444444444444444	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
other.proteins.involved.in.autophagy.65.	56	0.553571428571429	0.303571428571429	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
