	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
regulation.of.exocytosis.6.	4	0	1	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
eIF1.mRNAs.3.	2	0	1	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
PI3K.complex.12.	10	0.9	0.1	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
PKs.complex.13.	8	0.875	0.125	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
AMPK.complex.8.	7	0.142857142857143	0.857142857142857	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.ARF.GTPase.activity.15.	13	0.153846153846154	0.769230769230769	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
BCL.2.family.14.	11	0.727272727272727	0.181818181818182	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.proteolysis.23.	15	0.666666666666667	0.266666666666667	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Beclin1.complex.and.interacting.proteins.18.	15	0.666666666666667	0.333333333333333	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
selective.autophagy.cargo.receptors.10.	9	0.222222222222222	0.666666666666667	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
MTORC1.substrates.20.	20	0.35	0.65	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
transmembrane.transport.channel.19.	17	0.235294117647059	0.647058823529412	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Docking.and.fusion.13.	11	0.0909090909090909	0.636363636363636	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
aktPathway.19.	13	0.615384615384615	0.384615384615385	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Negative.Regulator.of.Autophagy.23.	19	0.578947368421053	0.263157894736842	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Autophagy.17.	16	0.3125	0.5625	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
endosome.to.lysosome.transport.10.	9	0.555555555555556	0.444444444444444	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
post.Golgi.vesicle.mediated.transport.14.	11	0.272727272727273	0.545454545454545	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
alkPathway.37.	26	0.384615384615385	0.538461538461538	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.endocytosis.13.	13	0.538461538461538	0.230769230769231	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
deathPathway.33.	29	0.517241379310345	0.448275862068966	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
other.proteins.involved.in.autophagy.65.	56	0.5	0.321428571428571	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Lysoplex.All.Autophagy.23.	22	0.318181818181818	0.5	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Lysoplex_Suppl_Table1.16.	16	0.25	0.5	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Early.endosomal.compartment.12.	12	0.5	0.416666666666667	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
endocytosis.60.	55	0.490909090909091	0.472727272727273	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
All.Endo.Exosomal.genes.137.	120	0.441666666666667	0.483333333333333	Down	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
AP.Core.62.	54	0.333333333333333	0.481481481481481	Up	9.99990000099999e-06	1.964266071625e-05	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.AP.Formation.23.	22	0.318181818181818	0.5	Up	1.9999800002e-05	5.32252741988709e-05	9.99990000099999e-06	9.99990000099999e-06
ATG12.Ubiquitin.like.conjugation.systems.6.	6	0.166666666666667	0.5	Up	1.9999800002e-05	5.32252741988709e-05	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.47.	46	0.304347826086957	0.478260869565217	Up	1.9999800002e-05	5.32252741988709e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.hydrolases.and.accessory.proteins.23.	23	0.695652173913043	0.173913043478261	Down	2.9999700003e-05	7.43235810885134e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.acidification.14.	12	0.0833333333333333	0.666666666666667	Up	2.9999700003e-05	7.43235810885134e-05	9.99990000099999e-06	9.99990000099999e-06
PolyA.binding.protein.mRNAs.3.	3	0.333333333333333	0.666666666666667	Up	2.9999700003e-05	7.43235810885134e-05	9.99990000099999e-06	9.99990000099999e-06
Mitochondrial.Trascriptional.factors.21.	19	0.631578947368421	0.368421052631579	Down	2.9999700003e-05	7.43235810885134e-05	9.99990000099999e-06	9.99990000099999e-06
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	7	0.142857142857143	0.571428571428571	Up	2.9999700003e-05	7.43235810885134e-05	9.99990000099999e-06	9.99990000099999e-06
Curated.Induction.23.	23	0.347826086956522	0.434782608695652	Up	2.9999700003e-05	7.43235810885134e-05	9.99990000099999e-06	9.99990000099999e-06
All.PI3K.genes.44.	35	0.571428571428571	0.285714285714286	Down	3.9999600004e-05	9.87169615483332e-05	9.99990000099999e-06	9.99990000099999e-06
MTORC1.hyp.Upregulated.ALL.492.	303	0.409240924092409	0.485148514851485	Up	3.9999600004e-05	9.87169615483332e-05	9.99990000099999e-06	9.99990000099999e-06
vacuolar.proton.transporting.V.type.ATPase.complex.26.	19	0.105263157894737	0.736842105263158	Up	4.99995000049999e-05	0.0001178559642975	9.99990000099999e-06	9.99990000099999e-06
RAB.effectors.90.	74	0.391891891891892	0.5	Up	4.99995000049999e-05	0.0001178559642975	9.99990000099999e-06	9.99990000099999e-06
All.MTOR.AKT.cascade.genes.150.	134	0.440298507462687	0.440298507462687	Down	4.99995000049999e-05	0.0001178559642975	9.99990000099999e-06	9.99990000099999e-06
X.retrograde.transport..endosome.to.Golgi..8.	6	0.666666666666667	0.166666666666667	Down	5.99994000059999e-05	0.00013749862501375	0.000109998900011	0.000109998900011
atg9.and.its.cycling.system.6.	6	0.166666666666667	0.333333333333333	Up	5.99994000059999e-05	0.00013749862501375	9.99990000099999e-06	9.99990000099999e-06
RAS.family.5.	5	0.6	0.2	Down	6.99993000069999e-05	0.000152126138313085	9.99990000099999e-06	9.99990000099999e-06
Mitophagy.34.	31	0.32258064516129	0.580645161290323	Up	6.99993000069999e-05	0.000152126138313085	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.membrane.9.	8	0.5	0.375	Down	6.99993000069999e-05	0.000152126138313085	9.99990000099999e-06	9.99990000099999e-06
mTOR.regulators.3.27.	27	0.259259259259259	0.592592592592593	Up	8.99991000089999e-05	0.000190814418386428	9.99990000099999e-06	9.99990000099999e-06
Old.Lysosomal.biogenesis.13.	13	0.307692307692308	0.384615384615385	Up	8.99991000089999e-05	0.000190814418386428	0.000189998100019	0.000189998100019
mTOR.regulators.25.	24	0.333333333333333	0.625	Up	9.99990000099999e-05	0.0002089979100209	9.99990000099999e-06	9.99990000099999e-06
MTORC1.hyp.DOWNregulated.ALL.561.	298	0.409395973154362	0.493288590604027	Up	0.000129998700013	0.000269605147085784	9.99990000099999e-06	9.99990000099999e-06
MTOR.cascade.32.	29	0.448275862068966	0.344827586206897	Down	0.000139998600014	0.00028557406733625	9.99990000099999e-06	9.99990000099999e-06
Rab.proteins.involved.in.autophagosome.formation.19.	16	0.3125	0.4375	Up	0.000169998300017	0.000342449405694622	9.99990000099999e-06	9.99990000099999e-06
protein.transport.40.	30	0.433333333333333	0.366666666666667	Down	0.000249997500025	0.00049906908338324	9.99990000099999e-06	9.99990000099999e-06
NfKb.pathway.23.	21	0.333333333333333	0.619047619047619	Up	0.000259997400026	0.000500887848264375	9.99990000099999e-06	9.99990000099999e-06
New.MT.Assoc.All.minus.motors.53.	51	0.352941176470588	0.431372549019608	Up	0.000259997400026	0.000500887848264375	9.99990000099999e-06	9.99990000099999e-06
Downregulated.upon.TFEB.OE.in.Hela.7.	4	0.25	0.5	Up	0.000279997200028	0.000530696447421491	9.99990000099999e-06	9.99990000099999e-06
TFs.involved.in.mitophagy.10.	8	0.75	0.25	Down	0.000319996800032	0.000597407819025258	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.genes.containing.CLEAR.motif.68.	57	0.578947368421053	0.333333333333333	Down	0.000339996600034	0.000624570025486186	9.99990000099999e-06	9.99990000099999e-06
Lysoplex.All.Lysosome..including.membrane..891.	725	0.419310344827586	0.456551724137931	Up	0.000449995500045	0.000815825175081583	9.99990000099999e-06	9.99990000099999e-06
lysosomal.transport.7.	7	0.428571428571429	0.571428571428571	Up	0.000679993200067999	0.00121720094274467	9.99990000099999e-06	9.99990000099999e-06
mTOR.substrates.10.	9	0.333333333333333	0.666666666666667	Up	0.001009989900101	0.00178304668566218	2.9999700003e-05	2.9999700003e-05
Lysosomal.Catabolic.enzymes.38.	32	0.625	0.3125	Down	0.002029979700203	0.003535678928925	9.99990000099999e-06	9.99990000099999e-06
Upregulated.upon.TFEB.OE.in.Hela.291.	215	0.455813953488372	0.437209302325581	Down	0.002739972600274	0.00470073424265757	9.99990000099999e-06	9.99990000099999e-06
ULK1.complex.9.	8	0.125	0.5	Up	0.00501994980050199	0.00848683820854099	9.99990000099999e-06	9.99990000099999e-06
eIF2.mRNAs.10.	9	0.444444444444444	0.333333333333333	Down	0.00531994680053199	0.00885824475088583	9.99990000099999e-06	9.99990000099999e-06
intracellular.trafficking.7.	7	0.571428571428571	0.142857142857143	Down	0.00771992280077199	0.0126662912475353	0.001279987200128	0.001279987200128
ATG8.Ubiquitin.like.conjugation.systems.14.	11	0.272727272727273	0.545454545454545	Up	0.010119898801012	0.0163623363766362	9.99990000099999e-06	9.99990000099999e-06
TFEB.targets..MB..479.	410	0.45609756097561	0.426829268292683	Down	0.011209887901121	0.0177176799660575	9.99990000099999e-06	9.99990000099999e-06
X.Golgi..recycling.comp..And.secretory..24.	18	0.5	0.333333333333333	Down	0.011279887201128	0.0177176799660575	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.Transport.56.	54	0.5	0.37037037037037	Down	0.011649883501165	0.0178824600642882	9.99990000099999e-06	9.99990000099999e-06
Rceptors.and.ligands.63.	43	0.418604651162791	0.511627906976744	Up	0.011709882901171	0.0178824600642882	9.99990000099999e-06	9.99990000099999e-06
New.MT.Assoc.All.84.	80	0.4	0.4	Up	0.01359986400136	0.0204854115842403	9.99990000099999e-06	9.99990000099999e-06
eEF.mRNAs.6.	6	0.166666666666667	0.666666666666667	Up	0.017829821701783	0.026496356658055	0.000209997900021	0.000209997900021
vesicle.mediated.transport.16.	15	0.333333333333333	0.466666666666667	Up	0.022689773102269	0.0332710006233271	9.99990000099999e-06	9.99990000099999e-06
lipid.transport.11.	11	0.363636363636364	0.545454545454545	Up	0.023659763402366	0.0342371576284237	9.99990000099999e-06	9.99990000099999e-06
lysosome.organization.10.	10	0.3	0.5	Up	0.025969740302597	0.037092486217995	9.99990000099999e-06	9.99990000099999e-06
MTOR1.2.complex.10.	10	0.2	0.6	Up	0.032439675603244	0.0457412092545741	9.99990000099999e-06	9.99990000099999e-06
Canonical.Lysosomal.Genes.98.	81	0.530864197530864	0.382716049382716	Down	0.033179668203318	0.0461925760489231	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.AP.Lysosome.Fusion.16.	15	0.266666666666667	0.4	Up	0.041919580804192	0.0576325486745133	9.99990000099999e-06	9.99990000099999e-06
mTOR.s.transcriptional.factor.11.	11	0.545454545454545	0.454545454545455	Down	0.0565794342056579	0.0768294786187941	9.99990000099999e-06	9.99990000099999e-06
All.Lysosomal.genes.241.	199	0.417085427135678	0.462311557788945	Up	0.0602593974060259	0.0808290697580829	9.99990000099999e-06	9.99990000099999e-06
Curated.Lysosomal.Biogenesis.26.	23	0.478260869565217	0.434782608695652	Down	0.0650793492065079	0.0862431134724797	9.99990000099999e-06	9.99990000099999e-06
Mitochondrial.ribosomal.protein.mRNAs.64.	63	0.285714285714286	0.571428571428571	Up	0.0659393406065939	0.0863425889550628	9.99990000099999e-06	9.99990000099999e-06
Lysosome.ON.IN.99.	83	0.409638554216867	0.469879518072289	Up	0.121748782512175	0.157550777433402	9.99990000099999e-06	9.99990000099999e-06
receptor.mediated.endocytosis.25.	19	0.421052631578947	0.473684210526316	Down	0.142658573414266	0.180854441455585	9.99990000099999e-06	9.99990000099999e-06
specialized.transport.8.	5	0.6	0.4	Down	0.144618553814462	0.180854441455585	9.99990000099999e-06	9.99990000099999e-06
Fission.and.Fusion.10.	8	0.375	0.625	Up	0.144688553114469	0.180854441455585	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	25	0.52	0.4	Down	0.147958520414796	0.182863901698062	9.99990000099999e-06	9.99990000099999e-06
Transcriptional.factors.104.	86	0.511627906976744	0.441860465116279	Down	0.153628463715363	0.187762011268776	9.99990000099999e-06	9.99990000099999e-06
intracellular.protein.trafficking.16.	13	0.461538461538462	0.384615384615385	Down	0.165028349716503	0.199478774443025	9.99990000099999e-06	9.99990000099999e-06
eIF5.mRNAs.3.	3	0.333333333333333	0.333333333333333	Down	0.172738272617274	0.20652891297174	3.9999600004e-05	3.9999600004e-05
All.lipid.genes.37.	28	0.428571428571429	0.464285714285714	Up	0.200837991620084	0.237544398749561	9.99990000099999e-06	9.99990000099999e-06
All.trasport.genes.232.	193	0.419689119170984	0.424870466321244	Up	0.21669783302167	0.252563263841046	9.99990000099999e-06	9.99990000099999e-06
PolyABinding.and.Elongation.46.	44	0.340909090909091	0.5	Up	0.218127818721813	0.252563263841046	9.99990000099999e-06	9.99990000099999e-06
All.Autophagic.genes.147.	122	0.409836065573771	0.418032786885246	Up	0.252687473125269	0.289532000513328	9.99990000099999e-06	9.99990000099999e-06
X14.3.3.7.	7	0.571428571428571	0.428571428571429	Down	0.277827221727783	0.315056127789238	9.99990000099999e-06	9.99990000099999e-06
eIF3.mRNAs.12.	12	0.333333333333333	0.5	Up	0.330146698533015	0.37056721269522	9.99990000099999e-06	9.99990000099999e-06
Non.lysosomal.proteins.involved.in.lysosomal.biogenesis.10..	10	0.5	0.3	Down	0.400005999940001	0.444445555544445	0.000149998500015	0.000149998500015
Thoreen.mTOR.Targets.Unique.166.	161	0.360248447204969	0.478260869565217	Up	0.43219567804322	0.475409745902541	9.99990000099999e-06	9.99990000099999e-06
Ribosomal.protein.mRNAs.50.	48	0.5	0.3125	Down	0.450275497245028	0.490393610915376	0.000129998700013	0.000129998700013
eIF4.mRNAs.9.	9	0.444444444444444	0.444444444444444	Down	0.495645043549565	0.534513772509334	9.99990000099999e-06	9.99990000099999e-06
Positive.regulator.of.Autophagy.43.	36	0.5	0.416666666666667	Down	0.523984760152398	0.55959003516761	9.99990000099999e-06	9.99990000099999e-06
Heat.Shock.Proteins.14.	14	0.428571428571429	0.5	Up	0.714382856171438	0.755591963311136	9.99990000099999e-06	9.99990000099999e-06
MAPK.family.12.	11	0.454545454545455	0.363636363636364	Up	0.751252487475125	0.784531506536787	1.9999800002e-05	1.9999800002e-05
lipid.catabolic.process.17.	9	0.555555555555556	0.444444444444444	Up	0.759782402175978	0.784531506536787	9.99990000099999e-06	9.99990000099999e-06
exocytosis.6.	5	0.6	0.4	Down	0.763872361276387	0.784531506536787	1.9999800002e-05	1.9999800002e-05
Negative.regulator.of.Mitophagy.8.	7	0.285714285714286	0.428571428571429	Down	0.770272297277027	0.784531506536787	9.99990000099999e-06	9.99990000099999e-06
endosomal.transport.29.	26	0.423076923076923	0.384615384615385	Up	0.915310846891531	0.923703148289618	9.99990000099999e-06	9.99990000099999e-06
Known.TOP.mRNAs.66.	64	0.421875	0.40625	Down	0.95940040599594	0.95940040599594	9.99990000099999e-06	9.99990000099999e-06
