	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
SASSON_RESPONSE_TO_GONADOTROPHINS_DN	73	0.328767123287671	0.575342465753425	Up	9.99990000099999e-06	1.249987500125e-05	9.99990000099999e-06	9.99990000099999e-06
SASSON_RESPONSE_TO_FORSKOLIN_DN	74	0.378378378378378	0.554054054054054	Up	9.99990000099999e-06	1.249987500125e-05	9.99990000099999e-06	9.99990000099999e-06
SASSON_RESPONSE_TO_GONADOTROPHINS_UP	78	0.5	0.435897435897436	Down	9.99990000099999e-06	1.249987500125e-05	9.99990000099999e-06	9.99990000099999e-06
G_PROTEIN_SIGNALING_COUPLED_TO_CAMP_NUCLEOTIDE_SECOND_MESSENGER	23	0.478260869565217	0.478260869565217	Down	9.99990000099999e-06	1.249987500125e-05	9.99990000099999e-06	9.99990000099999e-06
G_PROTEIN_SIGNALING_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	10	0.5	0.5	Down	0.00800991990080099	0.016009839901601	9.99990000099999e-06	9.99990000099999e-06
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	30	0.333333333333333	0.5	Up	0.013889861101389	0.0231414352523141	9.99990000099999e-06	9.99990000099999e-06
GO_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	6	0.333333333333333	0.5	Up	0.019999800002	0.028564000074285	9.99990000099999e-06	9.99990000099999e-06
SASSON_RESPONSE_TO_FORSKOLIN_UP	78	0.448717948717949	0.461538461538462	Down	0.119958800411996	0.149942250577494	9.99990000099999e-06	9.99990000099999e-06
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	33	0.454545454545455	0.484848484848485	Down	0.278357216427836	0.309280240530928	9.99990000099999e-06	9.99990000099999e-06
GO_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	62	0.419354838709677	0.483870967741935	Down	0.485475145248548	0.485475145248548	9.99990000099999e-06	9.99990000099999e-06
