	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
GO_RESPONSE_TO_SALT_STRESS	10	0.9	0.1	Down	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
BIOCARTA_AGPCR_PATHWAY	10	0.9	0.1	Down	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
GO_CHLORIDE_CHANNEL_REGULATOR_ACTIVITY	12	0.25	0.666666666666667	Up	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
BIOCARTA_GABA_PATHWAY	5	0.6	0.4	Down	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
GO_PROTEIN_TARGETING_TO_LYSOSOME	12	0.416666666666667	0.583333333333333	Up	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
SASSON_RESPONSE_TO_GONADOTROPHINS_DN	73	0.328767123287671	0.575342465753425	Up	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
Enriched.in.MITF.targets	48	0.354166666666667	0.541666666666667	Up	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
BIOCARTA_MCALPAIN_PATHWAY	22	0.5	0.318181818181818	Down	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
G_PROTEIN_SIGNALING_COUPLED_TO_CAMP_NUCLEOTIDE_SECOND_MESSENGER	23	0.478260869565217	0.478260869565217	Down	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
ER_to_golgi_anterograde_GO	112	0.392857142857143	0.473214285714286	Up	9.99990000099999e-06	2.09997900021e-05	9.99990000099999e-06	9.99990000099999e-06
GO_INTRACELLULAR_CALCIUM_ACTIVATED_CHLORIDE_CHANNEL_ACTIVITY	6	0.666666666666667	0.166666666666667	Down	1.9999800002e-05	4.8461053851e-05	9.99990000099999e-06	9.99990000099999e-06
SASSON_RESPONSE_TO_FORSKOLIN_DN	74	0.378378378378378	0.554054054054054	Up	1.9999800002e-05	4.8461053851e-05	9.99990000099999e-06	9.99990000099999e-06
SASSON_RESPONSE_TO_GONADOTROPHINS_UP	78	0.5	0.435897435897436	Down	1.9999800002e-05	4.8461053851e-05	9.99990000099999e-06	9.99990000099999e-06
GO_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	17	0.117647058823529	0.764705882352941	Up	2.9999700003e-05	7.49992500074999e-05	1.9999800002e-05	1.9999800002e-05
SECRETORY_PATHWAY_GO.0045045	67	0.417910447761194	0.507462686567164	Up	3.9999600004e-05	9.79990200097999e-05	9.99990000099999e-06	9.99990000099999e-06
