	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
SASSON_FSH_RESPONSE	8	0	0.5	Up	1.9999800002e-05	0.0003149968500315	1.9999800002e-05	5.249947500525e-05
SECRETORY_PATHWAY_GO.0045045	67	0.0447761194029851	0.388059701492537	Up	1.9999800002e-05	0.0003149968500315	9.99990000099999e-06	2.9999700003e-05
SECRETION_BY_CELL	81	0.0740740740740741	0.37037037037037	Up	4.99995000049999e-05	0.000577494225057749	2.9999700003e-05	8.07684230849999e-05
ER_to_golgi_anterograde_GO	112	0.0714285714285714	0.482142857142857	Up	5.99994000059999e-05	0.000577494225057749	1.9999800002e-05	5.249947500525e-05
GO_RESPONSE_TO_CAMP	74	0.216216216216216	0.364864864864865	Up	0.000129998700013	0.001049989500105	9.99990000099999e-06	2.9999700003e-05
SASSON_RESPONSE_TO_FORSKOLIN_DN	74	0.432432432432432	0.0945945945945946	Down	0.000219997800022	0.0015049849501505	9.99990000099999e-06	2.9999700003e-05
Golgi_to_PM_anterograde_GO	34	0.176470588235294	0.470588235294118	Up	0.000489995100048999	0.002909970900291	0.001629983700163	0.00284372156278437
BIOCARTA_MCALPAIN_PATHWAY	22	0.318181818181818	0.0454545454545455	Down	0.000579994200057999	0.00301871981280187	0.01139988600114	0.0149557879421206
SASSON_RESPONSE_TO_GONADOTROPHINS_DN	73	0.397260273972603	0.123287671232877	Down	0.000879991200087999	0.00408329250040833	9.99990000099999e-06	2.9999700003e-05
BIOCARTA_CFTR_PATHWAY	11	0.363636363636364	0.181818181818182	Down	0.002429975700243	0.0101848981510185	0.000349996500035	0.000905615943840562
SASSON_RESPONSE_TO_FORSKOLIN_UP	78	0.217948717948718	0.358974358974359	Up	0.00269997300027	0.010289897101029	1.9999800002e-05	5.249947500525e-05
GO_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING	11	0.363636363636364	0.181818181818182	Down	0.011149888501115	0.0390071099289007	0.003349966500335	0.00501744982550175
GO_CHLORIDE_TRANSPORT	46	0.0652173913043478	0.391304347826087	Up	0.012639873601264	0.040820361027159	0.00219997800022	0.0035457337734315
GO_CHLORIDE_CHANNEL_COMPLEX	20	0.1	0.45	Up	0.014709852901471	0.0441145588544115	0.000699993000069999	0.00153630042646942
SASSON_RESPONSE_TO_GONADOTROPHINS_UP	78	0.243589743589744	0.333333333333333	Up	0.017059829401706	0.0477535224647753	9.99990000099999e-06	2.9999700003e-05
HALLMARK_PROTEIN_SECRETION	91	0.0769230769230769	0.32967032967033	Up	0.018679813201868	0.0490213847861521	0.017189828101719	0.0218715994658235
BIOCARTA_GABA_PATHWAY	5	0.4	0.2	Down	0.020459795402046	0.0505353769991712	0.00179998200018	0.00301556984430156
GO_POSITIVE_REGULATION_OF_CAMP_METABOLIC_PROCESS	40	0.35	0.15	Down	0.031419685803142	0.0733009336573301	4.99995000049999e-05	0.0001349986500135
MITF.targets_Hartman	55	0.181818181818182	0.290909090909091	Up	0.04339956600434	0.0917165828341717	9.99990000099999e-06	2.9999700003e-05
GO_CHLORIDE_CHANNEL_REGULATOR_ACTIVITY	12	0.0833333333333333	0.416666666666667	Up	0.043679563204368	0.0917165828341717	0.0827891721082789	0.0891521854012229
G_PROTEIN_SIGNALING_COUPLED_TO_CAMP_NUCLEOTIDE_SECOND_MESSENGER	23	0.173913043478261	0.0434782608695652	Down	0.045869541304587	0.0917290827091729	0.161448385516145	0.161448385516145
GO_REGULATION_OF_CAMP_METABOLIC_PROCESS	56	0.357142857142857	0.142857142857143	Down	0.0540494595054049	0.103175786423954	1.9999800002e-05	5.249947500525e-05
Enriched.in.MITF.low.signature.genes	49	0.346938775510204	0.183673469387755	Down	0.0696993030069699	0.127267857756205	9.99990000099999e-06	2.9999700003e-05
GO_CAMP_METABOLIC_PROCESS	23	0.130434782608696	0.260869565217391	Up	0.0965690343096569	0.168987060129399	0.001059989400106	0.00221547784522155
GO_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	17	0	0.294117647058824	Up	0.114588854111459	0.186663902591743	0.0956590434095659	0.0979870689097987
G_PROTEIN_SIGNALING_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	10	0.3	0	Down	0.115558844411556	0.186663902591743	0.00594994050059499	0.00805443558467641
WANG_RESPONSE_TO_FORSKOLIN_UP	19	0.210526315789474	0.157894736842105	Down	0.127648723512765	0.198556903319856	0.028249717502825	0.0348905334476067
GO_PROTEIN_TARGETING_TO_LYSOSOME	12	0.166666666666667	0.25	Up	0.134228657713423	0.201335486645134	0.032189678103219	0.0380037866288004
GO_CELLULAR_RESPONSE_TO_CAMP	35	0.228571428571429	0.342857142857143	Up	0.147468525314747	0.213567864321357	1.9999800002e-05	5.249947500525e-05
