	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
Curated.Induction.23.	23	0	0.652173913043478	Up	9.99990000099999e-06	0.000183331500018333	9.99990000099999e-06	9.16657500091666e-05
AP.Core.62.	54	0.111111111111111	0.537037037037037	Up	9.99990000099999e-06	0.000183331500018333	1.9999800002e-05	0.0001649983500165
mTOR.regulators.25.	24	0.0416666666666667	0.458333333333333	Up	9.99990000099999e-06	0.000183331500018333	0.000389996100039	0.00124557577953632
selective.autophagy.cargo.receptors.10.	9	0	0.444444444444444	Up	1.9999800002e-05	0.00041249587504125	6.99993000069999e-05	0.000376312026353421
All.Autophagic.genes.147.	122	0.139344262295082	0.401639344262295	Up	2.9999700003e-05	0.000427773500042777	9.99990000099999e-06	9.16657500091666e-05
PolyA.binding.protein.mRNAs.3.	3	0.666666666666667	0	Down	3.9999600004e-05	0.000427773500042777	3.9999600004e-05	0.000240622593774062
Lysoplex.All.Autophagy.23.	22	0.0909090909090909	0.636363636363636	Up	3.9999600004e-05	0.000427773500042777	2.9999700003e-05	0.000229164375022916
Microtubule.associated.with.Autophagy.47.	46	0.0652173913043478	0.58695652173913	Up	3.9999600004e-05	0.000427773500042777	0.000129998700013	0.000597820108755434
protein.transport.40.	31	0.0645161290322581	0.419354838709677	Up	3.9999600004e-05	0.000427773500042777	0.000629993700062999	0.00185808952721284
New.MT.Assoc.All.84.	80	0.1125	0.4625	Up	6.99993000069999e-05	0.000714992850071499	0.002609973900261	0.00573094269057309
Microtubule.associated.with.Autophagy.AP.Formation.23.	22	0.0909090909090909	0.636363636363636	Up	7.99992000079999e-05	0.000749992500074999	9.99990000099999e-06	9.16657500091666e-05
New.MT.Assoc.All.minus.motors.53.	51	0.0980392156862745	0.490196078431373	Up	0.000209997900021	0.0017678394644625	0.000219997800022	0.000945990540094599
Negative.regulator.of.Mitophagy.8.	7	0.714285714285714	0	Down	0.000219997800022	0.0017678394644625	1.9999800002e-05	0.0001649983500165
All.trasport.genes.232.	194	0.11340206185567	0.360824742268041	Up	0.000229997700023	0.0017678394644625	0.001809981900181	0.00431626118521423
atg9.and.its.cycling.system.6.	6	0	0.5	Up	0.000309996900031	0.00223664430022366	0.000319996800032	0.00119481563805052
Microtubule.associated.with.Autophagy.Transport.56.	54	0.148148148148148	0.407407407407407	Up	0.000389996100039	0.0024749752502475	0.014639853601464	0.0212254456402804
Lysoplex.All.Lysosome..including.membrane..891.	731	0.14500683994528	0.317373461012312	Up	0.00039999600004	0.0024749752502475	0.000369996300037	0.00124557577953632
eIF4.mRNAs.9.	9	0.777777777777778	0	Down	0.000409995900041	0.0024749752502475	7.99992000079999e-05	0.000392853214325
mTOR.regulators.3.27.	27	0.0740740740740741	0.333333333333333	Up	0.000469995300047	0.00269207834237447	0.003159968400316	0.00667257478368613
ULK1.complex.9.	8	0.125	0.75	Up	0.000609993900060999	0.00332746672533275	0.000349996500035	0.00122418130657403
MTOR.cascade.32.	29	0.310344827586207	0.275862068965517	Up	0.000659993400065999	0.00343091807177166	9.99990000099999e-06	9.16657500091666e-05
Microtubule.associated.with.Autophagy.AP.Lysosome.Fusion.16.	15	0.0666666666666667	0.333333333333333	Up	0.000699993000069999	0.0034749652503475	0.00769992300076999	0.0136522828320104
X.Golgi..recycling.comp..And.secretory..24.	18	0.0555555555555556	0.388888888888889	Up	0.000819991800081999	0.00389778710908543	0.004279957200428	0.00870824625087083
specialized.transport.8.	5	0	0.4	Up	0.000959990400095999	0.0043770395629377	0.00598994010059899	0.0111583629926413
MTORC1.substrates.20.	20	0.2	0.55	Up	0.001139988600114	0.0049939500604994	0.000189998100019	0.000847908187584791
Rab.proteins.involved.in.autophagosome.formation.19.	16	0	0.5625	Up	0.001429985700143	0.00602878586598749	0.000109998900011	0.000524994750052499
Autophagy.17.	16	0.0625	0.4375	Up	0.001629983700163	0.00642315005421374	0.014619853801462	0.0212254456402804
Upregulated.upon.TFEB.OE.in.Hela.291.	217	0.211981566820276	0.271889400921659	Up	0.001639983600164	0.00642315005421374	1.9999800002e-05	0.0001649983500165
Early.endosomal.compartment.12.	12	0.0833333333333333	0.416666666666667	Up	0.002129978700213	0.00806026422494396	0.000379996200038	0.00124557577953632
Lysoplex_Suppl_Table1.16.	16	0.0625	0.375	Up	0.002819971800282	0.0103215634510322	0.019829801701983	0.028321145359975
MTORC1.hyp.Upregulated.ALL.492.	308	0.116883116883117	0.331168831168831	Up	0.00309996900031	0.0109821482430337	2.9999700003e-05	0.000229164375022916
transmembrane.transport.channel.19.	17	0	0.588235294117647	Up	0.003889961100389	0.0133545539544605	0.002939970600294	0.00633032885357421
PolyABinding.and.Elongation.46.	44	0.681818181818182	0	Down	0.004569954300457	0.0152165145015217	0.00631993680063199	0.0115773842261577
lipid.transport.11.	11	0	0.545454545454545	Up	0.00747992520074799	0.0241835816935948	0.002409975900241	0.00542137435768499
Downregulated.upon.TFEB.OE.in.Hela.7.	4	0	0.5	Up	0.00817991820081799	0.025692600216855	0.001029989700103	0.00268449696455416
Old.Lysosomal.biogenesis.13.	13	0	0.230769230769231	Up	0.00879991200087999	0.0268733423776873	0.0828391716082839	0.0990408574175128
Mitophagy.34.	31	0.161290322580645	0.290322580645161	Up	0.00968990310096899	0.0287929553136901	4.99995000049999e-05	0.0002749972500275
ATG8.Ubiquitin.like.conjugation.systems.14.	11	0	0.636363636363636	Up	0.012019879801202	0.0347799153587411	0.01029989700103	0.0169020697852723
eEF.mRNAs.6.	6	1	0	Down	0.012479875201248	0.0351855455804416	0.012479875201248	0.0196033753948175
endosome.to.lysosome.transport.10.	9	0	0.222222222222222	Up	0.013309866901331	0.0362057355036206	0.002419975800242	0.00542137435768499
eIF3.mRNAs.12.	12	0.833333333333333	0	Down	0.01349986500135	0.0362057355036206	0.013769862301377	0.0211936236802016
receptor.mediated.endocytosis.25.	19	0.315789473684211	0.0526315789473684	Down	0.014779852201478	0.0367794194398482	0.00580994190058099	0.011009372664894
lysosomal.transport.7.	7	0	0.571428571428571	Up	0.015229847701523	0.0367794194398482	0.014049859501405	0.0211936236802016
eIF2.mRNAs.10.	9	0.444444444444444	0	Down	0.015439845601544	0.0367794194398482	0.0769092309076909	0.0950501730937747
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	25	0.16	0.4	Up	0.015439845601544	0.0367794194398482	0.000909990900090999	0.00248872511274887
eIF5.mRNAs.3.	3	0.333333333333333	0	Down	0.015509844901551	0.0367794194398482	0.141908580914191	0.153033273588833
Lysosome.ON.IN.99.	83	0.144578313253012	0.253012048192771	Up	0.015719842801572	0.0367794194398482	0.000719992800071999	0.00206971614494381
MTORC1.hyp.DOWNregulated.ALL.561.	306	0.300653594771242	0.15359477124183	Down	0.016539834601654	0.0378923294100392	9.99990000099999e-06	9.16657500091666e-05
All.Lysosomal.genes.241.	201	0.119402985074627	0.298507462686567	Up	0.017029829701703	0.0382190055650464	0.001249987500125	0.00311246887531125
vesicle.mediated.transport.16.	15	0.0666666666666667	0.266666666666667	Up	0.023369766302337	0.0514024859751403	0.00488995110048899	0.00959543975988811
endosomal.transport.29.	26	0.153846153846154	0.346153846153846	Up	0.026479735202648	0.0571023701527691	0.011269887301127	0.0179585160670132
deathPathway.33.	29	0.137931034482759	0.310344827586207	Up	0.027059729402706	0.0572311584576462	0.00530994690053099	0.0102376169220764
Beclin1.complex.and.interacting.proteins.18.	15	0.266666666666667	0.466666666666667	Up	0.02839971600284	0.0589324295436291	0.00948990510094899	0.0159415072515942
regulation.of.ARF.GTPase.activity.15.	13	0.384615384615385	0.153846153846154	Down	0.03259967400326	0.0663965582566397	0.003219967800322	0.00667257478368613
All.MTOR.AKT.cascade.genes.150.	137	0.197080291970803	0.255474452554745	Up	0.039129608703913	0.0782492175078249	0.004469955300447	0.00892991070089299
Docking.and.fusion.13.	11	0.0909090909090909	0.272727272727273	Up	0.041949580504195	0.0823911403743105	0.042819571804282	0.0547628244647786
RAB.effectors.90.	74	0.148648648648649	0.364864864864865	Up	0.045459545404546	0.087719298245614	0.000319996800032	0.00119481563805052
lipid.catabolic.process.17.	9	0.333333333333333	0.444444444444444	Up	0.048879511204888	0.0926930385868555	0.00815991840081599	0.0142387465014239
All.lipid.genes.37.	28	0.25	0.428571428571429	Up	0.0558994410055899	0.104209974849404	3.9999600004e-05	0.000240622593774062
X14.3.3.7.	7	0.142857142857143	0	Down	0.0575294247057529	0.105461445385546	0.0802891971080289	0.0970468317294849
MAPK.family.12.	11	0.181818181818182	0.181818181818182	Up	0.0620993790062099	0.11197347042923	0.014669853301467	0.0212254456402804
