	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
eIF1.mRNAs.3.	2	0	1	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
PI3K.complex.12.	10	0.9	0	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
BCL.2.family.14.	12	0.833333333333333	0.166666666666667	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.acidification.14.	12	0.0833333333333333	0.833333333333333	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.exocytosis.6.	4	0	0.75	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
AMPK.complex.8.	7	0.142857142857143	0.714285714285714	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
PKs.complex.13.	10	0.7	0.2	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.ARF.GTPase.activity.15.	13	0.153846153846154	0.692307692307692	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
selective.autophagy.cargo.receptors.10.	9	0.222222222222222	0.666666666666667	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
PolyA.binding.protein.mRNAs.3.	3	0.333333333333333	0.666666666666667	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
MTORC1.substrates.20.	20	0.35	0.65	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
endosome.to.lysosome.transport.10.	9	0.555555555555556	0.444444444444444	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
post.Golgi.vesicle.mediated.transport.14.	11	0.272727272727273	0.545454545454545	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
alkPathway.37.	26	0.384615384615385	0.538461538461538	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
regulation.of.endocytosis.13.	13	0.538461538461538	0.307692307692308	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.proteolysis.23.	15	0.533333333333333	0.4	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Negative.Regulator.of.Autophagy.23.	19	0.526315789473684	0.368421052631579	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
endocytosis.60.	56	0.5	0.446428571428571	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Lysoplex_Suppl_Table1.16.	16	0.3125	0.5	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Early.endosomal.compartment.12.	12	0.5	0.416666666666667	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
deathPathway.33.	29	0.482758620689655	0.448275862068966	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
other.proteins.involved.in.autophagy.65.	56	0.482142857142857	0.375	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.47.	46	0.369565217391304	0.478260869565217	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
Autophagy.17.	16	0.3125	0.4375	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
AP.Core.62.	54	0.37037037037037	0.425925925925926	Up	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
protein.transport.40.	31	0.419354838709677	0.354838709677419	Down	9.99990000099999e-06	2.11536346175e-05	9.99990000099999e-06	9.99990000099999e-06
X.retrograde.transport..endosome.to.Golgi..8.	6	0.666666666666667	0.166666666666667	Down	1.9999800002e-05	4.85289264754411e-05	0.000209997900021	0.000209997900021
Mitophagy.34.	31	0.32258064516129	0.645161290322581	Up	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.membrane.9.	8	0.625	0.375	Down	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
aktPathway.19.	13	0.615384615384615	0.384615384615385	Down	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
Docking.and.fusion.13.	11	0.181818181818182	0.545454545454545	Up	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.AP.Formation.23.	22	0.363636363636364	0.454545454545455	Up	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
Rab.proteins.involved.in.autophagosome.formation.19.	16	0.4375	0.375	Up	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
Curated.Induction.23.	23	0.391304347826087	0.347826086956522	Up	1.9999800002e-05	4.85289264754411e-05	9.99990000099999e-06	9.99990000099999e-06
vacuolar.proton.transporting.V.type.ATPase.complex.26.	19	0.105263157894737	0.842105263157895	Up	2.9999700003e-05	6.70725000067072e-05	9.99990000099999e-06	9.99990000099999e-06
mTOR.regulators.3.27.	27	0.259259259259259	0.592592592592593	Up	2.9999700003e-05	6.70725000067072e-05	9.99990000099999e-06	9.99990000099999e-06
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	7	0.428571428571429	0.571428571428571	Up	2.9999700003e-05	6.70725000067072e-05	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.hydrolases.and.accessory.proteins.23.	23	0.565217391304348	0.260869565217391	Down	2.9999700003e-05	6.70725000067072e-05	9.99990000099999e-06	9.99990000099999e-06
Beclin1.complex.and.interacting.proteins.18.	15	0.533333333333333	0.333333333333333	Down	2.9999700003e-05	6.70725000067072e-05	9.99990000099999e-06	9.99990000099999e-06
MTORC1.hyp.DOWNregulated.ALL.561.	306	0.42156862745098	0.486928104575163	Up	2.9999700003e-05	6.70725000067072e-05	9.99990000099999e-06	9.99990000099999e-06
Lysoplex.All.Autophagy.23.	22	0.363636363636364	0.454545454545455	Up	2.9999700003e-05	6.70725000067072e-05	9.99990000099999e-06	9.99990000099999e-06
All.PI3K.genes.44.	35	0.6	0.285714285714286	Down	3.9999600004e-05	9.16657500091666e-05	9.99990000099999e-06	9.99990000099999e-06
X14.3.3.7.	7	0.428571428571429	0.428571428571429	Up	4.99995000049999e-05	0.000115115127918488	9.99990000099999e-06	9.99990000099999e-06
RAB.effectors.90.	74	0.432432432432432	0.486486486486487	Up	5.99994000059999e-05	0.000134443100013444	9.99990000099999e-06	9.99990000099999e-06
MTORC1.hyp.Upregulated.ALL.492.	308	0.399350649350649	0.474025974025974	Up	5.99994000059999e-05	0.000134443100013444	9.99990000099999e-06	9.99990000099999e-06
RAS.family.5.	5	0.6	0.2	Down	0.000119998800012	0.000269146244707766	9.99990000099999e-06	9.99990000099999e-06
ATG12.Ubiquitin.like.conjugation.systems.6.	6	0.166666666666667	0.333333333333333	Up	0.000119998800012	0.000269146244707766	9.99990000099999e-06	9.99990000099999e-06
Mitochondrial.Trascriptional.factors.21.	19	0.578947368421053	0.368421052631579	Down	0.000139998600014	0.000309371906280937	9.99990000099999e-06	9.99990000099999e-06
Downregulated.upon.TFEB.OE.in.Hela.7.	4	0.5	0.5	Up	0.000209997900021	0.0004509954900451	9.99990000099999e-06	9.99990000099999e-06
All.Endo.Exosomal.genes.137.	121	0.462809917355372	0.446280991735537	Down	0.000209997900021	0.0004509954900451	9.99990000099999e-06	9.99990000099999e-06
mTOR.regulators.25.	24	0.333333333333333	0.541666666666667	Up	0.000239997600024	0.000506857676521274	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.genes.containing.CLEAR.motif.68.	57	0.526315789473684	0.385964912280702	Down	0.000249997500025	0.00051826404812875	9.99990000099999e-06	9.99990000099999e-06
TFs.involved.in.mitophagy.10.	8	0.75	0.25	Down	0.000269997300027	0.000549994500055	9.99990000099999e-06	9.99990000099999e-06
New.MT.Assoc.All.minus.motors.53.	51	0.392156862745098	0.431372549019608	Up	0.000329996700033	0.00066203041673287	9.99990000099999e-06	9.99990000099999e-06
Upregulated.upon.TFEB.OE.in.Hela.291.	217	0.447004608294931	0.43778801843318	Down	0.000509994900050999	0.001009989900101	9.99990000099999e-06	9.99990000099999e-06
Old.Lysosomal.biogenesis.13.	13	0.384615384615385	0.384615384615385	Up	0.000579994200057999	0.00112945299118437	0.000249997500025	0.000249997500025
MTOR.cascade.32.	29	0.482758620689655	0.310344827586207	Down	0.00109998900011	0.00211313676336921	9.99990000099999e-06	9.99990000099999e-06
transmembrane.transport.channel.19.	17	0.352941176470588	0.588235294117647	Up	0.001179988200118	0.00222842599160215	9.99990000099999e-06	9.99990000099999e-06
Lysoplex.All.Lysosome..including.membrane..891.	731	0.433652530779754	0.448700410396717	Up	0.001789982100179	0.00332793282236669	9.99990000099999e-06	9.99990000099999e-06
eEF.mRNAs.6.	6	0.166666666666667	0.666666666666667	Up	0.001849981500185	0.00338246617533825	0.000189998100019	0.000191979212283349
NfKb.pathway.23.	21	0.333333333333333	0.523809523809524	Up	0.002539974600254	0.00457126576275221	9.99990000099999e-06	9.99990000099999e-06
lysosomal.transport.7.	7	0.428571428571429	0.571428571428571	Up	0.002749972500275	0.00487011258919669	9.99990000099999e-06	9.99990000099999e-06
vesicle.mediated.transport.16.	15	0.333333333333333	0.333333333333333	Up	0.00339996600034	0.00592771850059277	9.99990000099999e-06	9.99990000099999e-06
receptor.mediated.endocytosis.25.	19	0.473684210526316	0.368421052631579	Down	0.003489965100349	0.00598978385216148	9.99990000099999e-06	9.99990000099999e-06
Lysosomal.Catabolic.enzymes.38.	34	0.529411764705882	0.323529411764706	Down	0.003789962100379	0.00640532056217899	9.99990000099999e-06	9.99990000099999e-06
MAPK.family.12.	11	0.454545454545455	0.454545454545455	Up	0.004029959700403	0.00670826625067083	9.99990000099999e-06	9.99990000099999e-06
eIF3.mRNAs.12.	12	0.333333333333333	0.666666666666667	Up	0.004569954300457	0.00749470117239126	9.99990000099999e-06	9.99990000099999e-06
PolyABinding.and.Elongation.46.	44	0.340909090909091	0.568181818181818	Up	0.00614993850061499	0.00994034177305286	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.AP.Lysosome.Fusion.16.	15	0.333333333333333	0.466666666666667	Up	0.00668993310066899	0.0106571398054135	9.99990000099999e-06	9.99990000099999e-06
intracellular.trafficking.7.	7	0.571428571428571	0.142857142857143	Down	0.00702992970070299	0.0110391753225325	0.000559994400055999	0.000559994400055999
X.Golgi..recycling.comp..And.secretory..24.	18	0.611111111111111	0.277777777777778	Down	0.00738992610073899	0.0114414348814258	9.99990000099999e-06	9.99990000099999e-06
Mitochondrial.ribosomal.protein.mRNAs.64.	63	0.206349206349206	0.619047619047619	Up	0.00869991300086999	0.0132838949388284	1.9999800002e-05	1.9999800002e-05
ATG8.Ubiquitin.like.conjugation.systems.14.	11	0.272727272727273	0.454545454545455	Up	0.012219877801222	0.0184059803237584	9.99990000099999e-06	9.99990000099999e-06
All.MTOR.AKT.cascade.genes.150.	137	0.437956204379562	0.430656934306569	Down	0.013679863201368	0.0203274994277084	9.99990000099999e-06	9.99990000099999e-06
mTOR.substrates.10.	9	0.333333333333333	0.666666666666667	Up	0.020949790502095	0.0307190261430719	9.99990000099999e-06	9.99990000099999e-06
Rceptors.and.ligands.63.	44	0.409090909090909	0.5	Up	0.022469775302247	0.0325148064308831	9.99990000099999e-06	9.99990000099999e-06
lipid.transport.11.	11	0.272727272727273	0.454545454545455	Up	0.022869771302287	0.032663959074695	9.99990000099999e-06	9.99990000099999e-06
TFEB.targets..MB..479.	411	0.462287104622871	0.425790754257908	Down	0.02669973300267	0.0376464184076108	9.99990000099999e-06	9.99990000099999e-06
Heat.Shock.Proteins.14.	14	0.357142857142857	0.571428571428571	Up	0.036709632903671	0.0511077167709336	9.99990000099999e-06	9.99990000099999e-06
New.MT.Assoc.All.84.	80	0.45	0.4125	Up	0.0553494465055349	0.0760986140138599	9.99990000099999e-06	9.99990000099999e-06
eIF2.mRNAs.10.	9	0.555555555555556	0.333333333333333	Down	0.0613193868061319	0.0832664512861044	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.Transport.56.	54	0.518518518518518	0.388888888888889	Down	0.0632093679063209	0.0847863472584786	9.99990000099999e-06	9.99990000099999e-06
eIF4.mRNAs.9.	9	0.333333333333333	0.555555555555556	Up	0.0674593254067459	0.0893972987980964	2.9999700003e-05	2.9999700003e-05
lysosome.organization.10.	10	0.4	0.5	Up	0.0688393116068839	0.0901401700268712	9.99990000099999e-06	9.99990000099999e-06
Thoreen.mTOR.Targets.Unique.166.	161	0.316770186335404	0.546583850931677	Up	0.0741992580074199	0.0960160986625428	9.99990000099999e-06	9.99990000099999e-06
intracellular.protein.trafficking.16.	13	0.461538461538462	0.384615384615385	Down	0.0790092099079009	0.10105189645778	9.99990000099999e-06	9.99990000099999e-06
All.Lysosomal.genes.241.	201	0.412935323383085	0.477611940298507	Up	0.0815091849081509	0.103051268337891	9.99990000099999e-06	9.99990000099999e-06
Lysosome.ON.IN.99.	83	0.409638554216867	0.469879518072289	Up	0.0834991650083499	0.104367706322937	9.99990000099999e-06	9.99990000099999e-06
Canonical.Lysosomal.Genes.98.	81	0.469135802469136	0.419753086419753	Down	0.0893391066089339	0.110412940814412	9.99990000099999e-06	9.99990000099999e-06
endosomal.transport.29.	26	0.346153846153846	0.423076923076923	Up	0.11659883401166	0.14250357496425	9.99990000099999e-06	9.99990000099999e-06
Transcriptional.factors.104.	86	0.534883720930233	0.430232558139535	Down	0.132508674913251	0.159050039934383	9.99990000099999e-06	9.99990000099999e-06
Non.lysosomal.proteins.involved.in.lysosomal.biogenesis.10..	10	0.6	0.3	Down	0.133028669713303	0.159050039934383	0.000209997900021	0.000209997900021
MTOR1.2.complex.10.	10	0.3	0.6	Up	0.153618463815362	0.180965743534054	9.99990000099999e-06	9.99990000099999e-06
Fission.and.Fusion.10.	8	0.375	0.5	Up	0.154648453515465	0.180965743534054	9.99990000099999e-06	9.99990000099999e-06
Negative.regulator.of.Mitophagy.8.	7	0.285714285714286	0.714285714285714	Up	0.180108198918011	0.208540546173486	9.99990000099999e-06	9.99990000099999e-06
All.Autophagic.genes.147.	122	0.418032786885246	0.409836065573771	Up	0.231677683223168	0.265458282917171	9.99990000099999e-06	9.99990000099999e-06
Curated.Lysosomal.Biogenesis.26.	23	0.434782608695652	0.478260869565217	Down	0.270917290827092	0.307220123675052	9.99990000099999e-06	9.99990000099999e-06
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	25	0.48	0.4	Down	0.299087009129909	0.335704296018264	9.99990000099999e-06	9.99990000099999e-06
mTOR.s.transcriptional.factor.11.	11	0.545454545454545	0.454545454545455	Down	0.369216307836922	0.410234786541024	9.99990000099999e-06	9.99990000099999e-06
atg9.and.its.cycling.system.6.	6	0.333333333333333	0.333333333333333	Up	0.378586214137859	0.416439335606644	9.99990000099999e-06	9.99990000099999e-06
Positive.regulator.of.Autophagy.43.	36	0.472222222222222	0.472222222222222	Up	0.414855851441486	0.451817759050132	9.99990000099999e-06	9.99990000099999e-06
ULK1.complex.9.	8	0.5	0.375	Up	0.49180508194918	0.530372637450096	9.99990000099999e-06	9.99990000099999e-06
Known.TOP.mRNAs.66.	64	0.390625	0.484375	Up	0.512244877551224	0.547052296467327	9.99990000099999e-06	9.99990000099999e-06
eIF5.mRNAs.3.	3	0.333333333333333	0.333333333333333	Up	0.528824711752882	0.559328541329971	5.99994000059999e-05	5.99994000059999e-05
specialized.transport.8.	5	0.4	0.4	Down	0.557224427755722	0.583753686272661	9.99990000099999e-06	9.99990000099999e-06
lipid.catabolic.process.17.	9	0.555555555555556	0.444444444444444	Down	0.787572124278757	0.81728663845437	9.99990000099999e-06	9.99990000099999e-06
Ribosomal.protein.mRNAs.50.	48	0.458333333333333	0.416666666666667	Down	0.850041499585004	0.873869298690191	1.9999800002e-05	1.9999800002e-05
exocytosis.6.	5	0.6	0.4	Down	0.904810951890481	0.921561617717156	9.99990000099999e-06	9.99990000099999e-06
All.trasport.genes.232.	194	0.417525773195876	0.402061855670103	Down	0.982690173098269	0.991700633452381	9.99990000099999e-06	9.99990000099999e-06
All.lipid.genes.37.	28	0.464285714285714	0.428571428571429	Down	0.993520064799352	0.993520064799352	9.99990000099999e-06	9.99990000099999e-06
