	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
Negative.Regulator.of.Autophagy.23.	19	0.473684210526316	0	Down	0.000139998600014	0.014849851501485	0.00720992790072099	0.0283050740921162
X14.3.3.7.	7	0.714285714285714	0	Down	0.000529994700053	0.0288747112528875	0.002109978900211	0.0144717302826972
regulation.of.endocytosis.13.	13	0.461538461538462	0	Down	0.001589984100159	0.0404933450665493	0.0947090529094709	0.144686747576969
AMPK.complex.8.	7	0	0.285714285714286	Up	0.002079979200208	0.0404933450665493	0.12209877901221	0.168813936860631
RAS.family.5.	5	0.4	0	Down	0.002709972900271	0.0404933450665493	0.136838631613684	0.181345776903677
endocytosis.60.	56	0.303571428571429	0.0892857142857143	Down	0.002789972100279	0.0404933450665493	0.026739732602674	0.0612670956623767
All.Endo.Exosomal.genes.137.	121	0.223140495867769	0.107438016528926	Down	0.002859971400286	0.0404933450665493	0.0510294897051029	0.0920113749682175
eIF4.mRNAs.9.	9	0.666666666666667	0	Down	0.002949970500295	0.0404933450665493	0.002029979700203	0.0144717302826972
Mitophagy.34.	31	0.32258064516129	0	Down	0.004669953300467	0.051249487505125	0.021359786402136	0.0562912975521408
MTOR.cascade.32.	29	0.344827586206897	0.103448275862069	Down	0.00490995090049099	0.051249487505125	0.105388946110539	0.154563121035456
atg9.and.its.cycling.system.6.	6	0	0.5	Up	0.00512994870051299	0.051249487505125	0.017029829701703	0.051446782829469
endosome.to.lysosome.transport.10.	9	0.333333333333333	0.111111111111111	Down	0.00757992420075799	0.0690031561222849	0.001769982300177	0.0144717302826972
MAPK.family.12.	11	0.181818181818182	0	Down	0.00815991840081599	0.0690031561222849	0.23679763202368	0.255364603216713
transmembrane.transport.channel.19.	17	0.0588235294117647	0.529411764705882	Up	0.010479895201048	0.0820225131082022	0.003259967400326	0.0198914677519891
other.proteins.involved.in.autophagy.65.	56	0.303571428571429	0.125	Down	0.011189888101119	0.0820225131082022	0.000339996600034	0.005264233071955
eIF5.mRNAs.3.	3	0.666666666666667	0	Down	0.013839861601384	0.0897138087442655	0.122778772212278	0.168813936860631
Microtubule.associated.with.Autophagy.Transport.56.	54	0.351851851851852	0.148148148148148	Down	0.013869861301387	0.0897138087442655	0.0483795162048379	0.090189776068341
MTORC1.hyp.DOWNregulated.ALL.561.	306	0.320261437908497	0.143790849673203	Down	0.016989830101699	0.0974537873668882	0.000479995200048	0.00629438150062944
PolyABinding.and.Elongation.46.	44	0.727272727272727	0.0227272727272727	Down	0.018069819301807	0.0974537873668882	0.021559784402156	0.0562912975521408
eIF3.mRNAs.12.	12	1	0	Down	0.018149818501815	0.0974537873668882	0.018569814301857	0.0523622968898516
intracellular.protein.trafficking.16.	13	0.230769230769231	0.0769230769230769	Down	0.018609813901861	0.0974537873668882	0.0798992010079899	0.127367566904041
Mitochondrial.Trascriptional.factors.21.	19	0.368421052631579	0.210526315789474	Down	0.02009979900201	0.100473995260047	0.000129998700013	0.00229164375022916
Beclin1.complex.and.interacting.proteins.18.	15	0.266666666666667	0	Down	0.022219777802222	0.106244589728016	0.046419535804642	0.090189776068341
protein.transport.40.	31	0.0967741935483871	0.258064516129032	Up	0.024459755402446	0.112084295823708	0.00927990720092799	0.0343013236534301
Lysosomal.proteolysis.23.	15	0.466666666666667	0.0666666666666667	Down	0.026089739102609	0.114772852271477	0.00572994270057299	0.0255417445825542
PolyA.binding.protein.mRNAs.3.	3	0.666666666666667	0	Down	0.030739692603074	0.12586725984592	0.00656993430065699	0.0267460288360079
Positive.regulator.of.Autophagy.43.	36	0.25	0.0555555555555556	Down	0.03089969100309	0.12586725984592	0.004589954100459	0.0229247707522925
New.MT.Assoc.All.84.	80	0.275	0.15	Down	0.043489565104349	0.170832220249226	0.0540594594054059	0.0959030732273322
TFEB.targets..MB..479.	411	0.265206812652068	0.128953771289538	Down	0.047889521104789	0.181630942311267	0.021879781202188	0.0562912975521408
Lysoplex.All.Lysosome..including.membrane..891.	731	0.210670314637483	0.140902872777018	Down	0.0569894301056989	0.208942910570894	0.014739852601474	0.0491161755049116
Microtubule.associated.with.Autophagy.AP.Lysosome.Fusion.16.	15	0.133333333333333	0.0666666666666667	Down	0.0611793882061179	0.209714569520971	0.155938440615594	0.194916800831992
mTOR.s.transcriptional.factor.11.	11	0.363636363636364	0.181818181818182	Down	0.0616793832061679	0.209714569520971	0.027819721802782	0.0624412123225706
eIF2.mRNAs.10.	9	0.444444444444444	0	Down	0.0629193708062919	0.209714569520971	0.105138948610514	0.154563121035456
All.Autophagic.genes.147.	122	0.245901639344262	0.139344262295082	Down	0.0669893301066989	0.216040895146604	0.001479985200148	0.0135206981263521
Lysosomal.hydrolases.and.accessory.proteins.23.	23	0.391304347826087	0	Down	0.0699593004069959	0.216040895146604	0.022009779902201	0.0562912975521408
All.MTOR.AKT.cascade.genes.150.	137	0.233576642335766	0.145985401459854	Down	0.0707092929070709	0.216040895146604	0.048139518604814	0.090189776068341
eEF.mRNAs.6.	6	0.833333333333333	0	Down	0.0799592004079959	0.237701677037284	0.0848291517084829	0.131417699907508
Negative.regulator.of.Mitophagy.8.	7	0.285714285714286	0.142857142857143	Down	0.0877791222087779	0.250726979909688	0.00987990120098799	0.0350399721809233
Curated.Lysosomal.Biogenesis.26.	23	0.391304347826087	0.0869565217391304	Down	0.0888991110088899	0.250726979909688	0.025189748102519	0.0602243977560224
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	25	0.4	0.2	Down	0.106288937110629	0.286419228830968	0.00935990640093599	0.0343013236534301
regulation.of.ARF.GTPase.activity.15.	13	0.0769230769230769	0.230769230769231	Up	0.109888901110989	0.286419228830968	0.042849571504285	0.0889226956787036
Curated.Induction.23.	23	0.173913043478261	0.217391304347826	Up	0.110838891611084	0.286419228830968	0.000609993900060999	0.00634993650063499
Lysosomal.acidification.14.	12	0.416666666666667	0.0833333333333333	Down	0.111968880311197	0.286419228830968	0.102718972810272	0.154563121035456
vesicle.mediated.transport.16.	15	0.2	0.133333333333333	Down	0.118088819111809	0.295209547904521	0.018569814301857	0.0523622968898516
Old.Lysosomal.biogenesis.13.	13	0	0.153846153846154	Up	0.14669853301467	0.353514943111438	0.0651593484065159	0.110261205080257
ULK1.complex.9.	8	0.125	0.5	Up	0.147838521614784	0.353514943111438	0.001979980200198	0.0144717302826972
Thoreen.mTOR.Targets.Unique.166.	161	0.478260869565217	0.0062111801242236	Down	0.151088489115109	0.353599655492807	0.151348486515135	0.191353833588101
All.trasport.genes.232.	194	0.190721649484536	0.154639175257732	Down	0.159118408815912	0.361173839242	0.038109618903811	0.0806059247099837
endosomal.transport.29.	26	0.230769230769231	0.0769230769230769	Down	0.161248387516125	0.361173839242	0.118958810411896	0.167755373728314
Mitochondrial.ribosomal.protein.mRNAs.64.	63	0.476190476190476	0	Down	0.164758352416476	0.361173839242	0.159938400615994	0.19750302496975
specialized.transport.8.	5	0.2	0	Down	0.167458325416746	0.361173839242	0.259867401325987	0.277522952925811
receptor.mediated.endocytosis.25.	19	0.0526315789473684	0.157894736842105	Up	0.184488155118449	0.390252828240948	0.017309826901731	0.051446782829469
New.MT.Assoc.All.minus.motors.53.	51	0.254901960784314	0.176470588235294	Down	0.188738112618874	0.391710233841058	0.025059749402506	0.0602243977560224
selective.autophagy.cargo.receptors.10.	9	0.111111111111111	0.111111111111111	Up	0.203637963620364	0.414807888958147	0.112168878311217	0.162342455522813
Lysosomal.membrane.9.	8	0.25	0.625	Up	0.220867791322087	0.441725582744173	4.99995000049999e-05	0.001429985700143
mTOR.substrates.10.	9	0.111111111111111	0.222222222222222	Up	0.233637663623364	0.458921303644106	0.033289667103329	0.0717904585660026
alkPathway.37.	26	0.230769230769231	0.0384615384615385	Down	0.249777502224978	0.482017109653465	0.295317046829532	0.306455897705174
Canonical.Lysosomal.Genes.98.	81	0.296296296296296	0.123456790123457	Down	0.261417385826142	0.490268826125298	0.00289997100029	0.0187321656195203
NfKb.pathway.23.	21	0.0952380952380952	0.0952380952380952	Up	0.262967370326297	0.490268826125298	0.292847071529285	0.306455897705174
Lysosomal.Catabolic.enzymes.38.	34	0.294117647058824	0.117647058823529	Down	0.270257297427026	0.495462545374546	0.000639993600063999	0.00634993650063499
Known.TOP.mRNAs.66.	64	0.375	0	Down	0.275047249527505	0.495977827106975	0.269857301426986	0.285420703485273
Lysosome.ON.IN.99.	83	0.228915662650602	0.180722891566265	Down	0.283077169228308	0.500695786692927	5.99994000059999e-05	0.001429985700143
Rceptors.and.ligands.63.	44	0.227272727272727	0.0909090909090909	Down	0.286767132328677	0.500695786692927	0.194238057619424	0.222558711912881
mTOR.regulators.3.27.	27	0.185185185185185	0.111111111111111	Down	0.294447055529445	0.50607228302717	0.0691293087069129	0.113487671093438
Heat.Shock.Proteins.14.	14	0.428571428571429	0.285714285714286	Down	0.308816911830882	0.52171022407423	1.9999800002e-05	0.0013749862501375
Autophagy.17.	16	0.25	0.125	Down	0.319576804231958	0.52171022407423	0.0502894971050289	0.0920113749682175
Upregulated.upon.TFEB.OE.in.Hela.291.	217	0.225806451612903	0.216589861751152	Down	0.320066799332007	0.52171022407423	0.003609963900361	0.0208708439231397
X.Golgi..recycling.comp..And.secretory..24.	18	0.222222222222222	0.111111111111111	Down	0.322516774832252	0.52171022407423	0.209117908820912	0.237138350265982
Transcriptional.factors.104.	86	0.267441860465116	0.174418604651163	Down	0.348976510234898	0.556331393207807	0.030739692603074	0.0676163238367616
Fission.and.Fusion.10.	8	0.25	0.125	Down	0.365716342836572	0.559208791473729	0.194108058919411	0.222558711912881
Rab.proteins.involved.in.autophagosome.formation.19.	16	0.25	0.125	Down	0.366116338836612	0.559208791473729	0.143308566914331	0.184062694256778
Ribosomal.protein.mRNAs.50.	48	0.270833333333333	0	Down	0.366146338536615	0.559208791473729	0.345306546934531	0.351696020076836
Lysosomal.genes.containing.CLEAR.motif.68.	57	0.298245614035088	0.157894736842105	Down	0.371116288837112	0.559208791473729	0.004029959700403	0.0221372786272137
post.Golgi.vesicle.mediated.transport.14.	11	0.272727272727273	0.0909090909090909	Down	0.386116138838612	0.573948990239827	0.16159838401616	0.19750302496975
Microtubule.associated.with.Autophagy.47.	46	0.239130434782609	0.195652173913043	Down	0.398516014839852	0.584482821838448	0.025769742302577	0.060300460825179
RAB.effectors.90.	74	0.202702702702703	0.135135135135135	Down	0.415365846341537	0.601180172408802	0.131648683513165	0.17659518526766
regulation.of.exocytosis.6.	4	0	0	Down	0.429755702442976	0.610557355964902	0.668793312066879	0.668793312066879
Downregulated.upon.TFEB.OE.in.Hela.7.	4	0.5	0.25	Down	0.432945670543295	0.610557355964902	0.00580994190058099	0.0255417445825542
MTORC1.substrates.20.	20	0.15	0.25	Up	0.439655603443966	0.612171726384002	0.0620993790062099	0.10672471400286
ATG8.Ubiquitin.like.conjugation.systems.14.	11	0.272727272727273	0.0909090909090909	Down	0.456135438645614	0.627179353206468	0.0831491685083149	0.130655122020208
Early.endosomal.compartment.12.	12	0.25	0.0833333333333333	Down	0.500404995950041	0.674445665181903	0.138708612913871	0.181635683643164
Lysoplex_Suppl_Table1.16.	16	0.0625	0.125	Down	0.50569494305057	0.674445665181903	0.168478315216848	0.203649062410475
vacuolar.proton.transporting.V.type.ATPase.complex.26.	19	0.315789473684211	0.157894736842105	Down	0.508904910950891	0.674445665181903	0.0577994220057799	0.100910895652948
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	7	0.285714285714286	0.142857142857143	Down	0.520854791452085	0.682065203157492	0.024509754902451	0.0602243977560224
aktPathway.19.	13	0.230769230769231	0.0769230769230769	Down	0.548164518354816	0.709382906170938	0.182548174518255	0.215911281747398
AP.Core.62.	54	0.166666666666667	0.166666666666667	Up	0.585224147758522	0.742031085436272	0.005109948900511	0.0244149732415719
mTOR.regulators.25.	24	0.166666666666667	0.208333333333333	Up	0.586884131158688	0.742031085436272	0.047459525404746	0.090189776068341
lysosomal.transport.7.	7	0	0.142857142857143	Up	0.594464055359446	0.743073819261807	0.233737662623374	0.254560325683872
Docking.and.fusion.13.	11	0	0.0909090909090909	Down	0.621513784862151	0.760685170926069	0.143908560914391	0.184062694256778
exocytosis.6.	5	0.2	0.2	Up	0.622383776162238	0.760685170926069	0.217267827321727	0.24140314152414
deathPathway.33.	29	0.310344827586207	0.206896551724138	Down	0.637043629563704	0.764346079943456	0.004519954800452	0.0229247707522925
PI3K.complex.12.	10	0.1	0.2	Up	0.646853531464685	0.764346079943456	0.189048109518905	0.221220660133824
X.retrograde.transport..endosome.to.Golgi..8.	6	0.333333333333333	0.166666666666667	Up	0.647933520664793	0.764346079943456	0.126938730612694	0.172379140406127
lipid.catabolic.process.17.	9	0.111111111111111	0.333333333333333	Up	0.653173468265317	0.764346079943456	2.9999700003e-05	0.0013749862501375
