	log2FC	t.value
Aagab	-0.446456261953188	-11.1494541491556
Abca1	-0.0196349766962509	-0.141656444840617
Acap1	-0.443942269467604	-1.65639675796507
Acap3	0.420951837543815	9.48234377928754
Adap1	1.50912462494564	4.88467242781798
Adrb2	-1.57019860574487	-8.7912135738416
Agfg1	0.243202524856581	6.06028761511501
Ap1ar	-0.27403527378244	-7.9848959534875
Ap1b1	0.824497530094449	24.6952079753678
Ap1g1	-0.0741606417613569	-1.18247827616854
Ap1g2	0.502501342268237	7.16198948411909
Ap1m1	-0.16227206675607	-4.0568103566425
Ap1s2	-1.19670889678042	-23.2671973466093
Ap1s3	4.47565979766765	26.8537850213542
Ap3b1	-0.0852060848242671	-2.43899279985718
Ap3m1	-0.183004476614177	-4.74157367737187
Ap3m2	0.180783412690167	2.97756068601016
Ap4b1	0.0691422793512917	0.834958003116812
Ap4e1	0.125962561945782	1.5885065092022
Ap4m1	0.00988265048531822	0.191578922238793
Ap4s1	0.00981620797665572	0.110959017497536
Ap5b1	-0.555959665090398	-7.52868957455464
Ap5m1	-0.116816020405619	-1.14622644416513
Ap5s1	0.15951199484904	1.65187233785504
Ap5z1	0.63787691884308	10.7675773694232
Arap3	0.144845494490378	0.462007438169578
Arf1	0.458143259836669	14.4957580879812
Arf5	-0.164690000134499	-2.97589154534686
Arf6	-0.426951120262621	-10.9108524930149
Arfgap1	0.650931830909403	18.4323321577483
Arfgap2	-0.312248952803539	-8.12040216304827
Arfgap3	-0.236670927360993	-5.61663457152942
Arfgef1	0.02932480115898	0.520743111355304
Arfgef2	0.0290661718588421	0.538110284093215
Arfip1	0.396786802564307	8.39332494477416
Arfrp1	0.346053275491369	6.30106267875458
Arhgap33	-0.85434219670825	-7.28463128097793
Arl1	0.104405276946544	2.92372915870628
Arl16	-0.0665947240693581	-1.15141213904782
Arl3	-0.182191581402373	-3.52936419818875
Arl6	-0.0251052093909516	-0.57654876187978
Arl6ip6	-0.0618159016847661	-1.38188289562262
Arrb1	-0.346918761845009	-6.63294984977247
Asap1	0.602536580409036	16.0275723583745
Asap2	0.0695939472584133	1.08720893810455
Bloc1s4	0.21003360256552	3.68682770516672
Bloc1s5	-0.0700620807433618	-1.26958679550782
Bloc1s6	-0.23976938276744	-5.41523474418591
Cav2	-1.26960428559353	-27.971920318875
Chml	-0.609774790866432	-7.06427345000587
Chmp1b	-0.131424738574515	-2.95246229598427
Chmp2a	-0.429262816798939	-9.39877780797974
Chmp2b	0.181724120402193	4.26682228560198
Chmp3	0.0173568385996834	0.487633632707329
Chmp4b	-1.48223424188803	-39.0493403538005
Chmp4c	1.23727812919449	17.9514132270304
Chmp5	0.296724900122513	8.07965214182914
Chmp6	-0.00167783934302257	-0.0349488532600207
Clint1	0.680593869885804	16.5935211758738
Cltb	-0.570727357407688	-13.5999022714581
Ctsa	0.108562033054899	2.555873418737
Dctn1	-0.132900534381322	-3.5688457795092
Dtnbp1	0.0197405185186419	0.393663135682346
Dync1h1	-0.151545356245007	-1.208861565336
Fyco1	-0.743757091268543	-11.5217635388606
Gga1	0.510287400720581	13.3242086467513
Gga2	0.935203469759307	28.1677949041194
Gga3	0.245764558059894	6.80652922745911
Git1	0.316039460361276	7.36493752276928
Git2	-0.194095732390574	-5.5423870887518
Gnptab	0.936722174911044	22.5923452485234
Golim4	-0.776132533987316	-16.3939970216585
Hgs	0.34109625217794	8.0112568174265
Inpp1	0.518393852899533	8.31592921178415
Inpp4a	-0.091763269561171	-1.61538009006275
Inpp4b	-4.88734359500399	-17.1018129688272
Inpp5e	-0.0644833375048108	-1.1675947040036
Inpp5k	0.970044800736578	18.6434194744219
Iqsec1	-0.44251146352712	-10.1528613364565
Iqsec2	0.40608377688104	8.20217592671379
Itsn1	-0.111304757151779	-3.04833224742157
Kif16b	-0.594988638083757	-11.778824369702
Krt18	2.93206118805574	42.1604632027583
Laptm4a	-0.170541684971868	-4.93475095574448
Laptm4b	-0.182334954894013	-5.11364891039968
Lyst	0.0972546100082621	0.738511866269387
M6pr	-0.109075597020984	-3.35991310809706
Mtm1	0.588331356380125	7.77478989947532
Mtmr2	-0.466487763866698	-12.6630760437991
Mvb12a	-0.0776434322116719	-1.35033726578445
Mvb12b	-0.468855697355489	-11.2632132666058
Myo5a	-0.469788385798958	-5.55286663355971
Myo5b	8.04428309202508	22.3823390793817
Nagpa	0.458381873225111	8.61956628998224
Nedd4	-0.537312880004459	-12.0662457676802
Osbpl1a	-0.81162688279943	-14.7547918734541
Osbpl5	-0.802689681634103	-20.032735075003
Pik3c2a	-1.15752235603189	-7.18712182705404
Pik3c2b	-2.80093904355955	-21.5819049140201
Pikfyve	-0.11721600994085	-2.01800146552775
Pitpnb	0.262311895594186	6.71642424188416
Pitpnm1	-0.389159211168391	-9.73545544764169
Plekha8	0.533871100067195	10.3696113726422
Prkci	-0.687634532471602	-17.1502126787782
Psd3	2.76300002419985	21.3328550472649
Rab10	-0.43255314038283	-10.1241088103088
Rab11a	-0.134053387127282	-3.74291934502904
Rab11b	-0.0501550076664152	-1.39524482219305
Rab11fip1	-0.2131054298277	-4.92065453400417
Rab11fip2	0.925903003183658	9.62916366446649
Rab11fip4	2.00270049933231	7.75062143777881
Rab11fip5	-1.64334886891315	-43.546987309809
Rab12	-0.850212237167626	-22.236844680903
Rab13	-1.17696956779501	-21.5535867739499
Rab14	-0.176126330796546	-3.89982889700847
Rab15	0.932423216823226	5.81301055590014
Rab18	-0.281522387081638	-7.60903270913337
Rab21	-0.489555305803488	-13.1879001085929
Rab25	0.628775464979278	1.45008765949242
Rab27a	3.38409241638873	8.58075146619248
Rab31	-1.04485146191482	-28.3570247314396
Rab35	0.108999180269284	2.85784868441117
Rab3a	-0.557709788752502	-5.84119303380059
Rab3d	-0.601116744113299	-9.88109529827867
Rab3ip	-0.353002070658638	-7.71854529375057
Rab40b	1.26247624811168	6.28499611109609
Rab40c	0.0726730647383791	1.68927406129262
Rab43	0.0490888652396555	0.322368029028143
Rab44	-4.11815362631813	-8.92731299426746
Rab4b	0.241384548500293	1.68312978706976
Rab6a	-0.274502272981522	-6.99022737942276
Rab6b	-1.78699725468331	-33.9396282146964
Ramp2	-2.00680747789309	-5.32006471802931
Rilp	0.627829670223889	4.05981076424217
Scamp2	0.213952615754195	4.39434345360737
Scarb2	1.9932181910394	38.2653645387635
Sh3tc2	5.21600706156225	36.7272976537964
Sil1	0.00674266348300367	0.113013490070474
Smap2	0.883849649419823	22.0651420752861
Snap29	0.611066743362916	15.2918079440902
Snapin	-0.748075071192758	-17.6795306293923
Snf8	0.305029393741621	6.22585963421806
Snx11	0.539671772665744	10.39955833009
Snx12	-0.321344521980178	-8.56561618517258
Snx13	-0.582378830607852	-7.3098171658231
Snx14	-0.179795639621461	-3.52292882627698
Snx15	-0.196561160217555	-3.98422935641467
Snx16	-0.570101550607878	-10.9227147698769
Snx19	-0.0477284944316922	-1.09801187129399
Snx21	-0.667572337532106	-10.2752691056844
Snx22	0.316322195810196	1.16104978623932
Snx24	0.6665959814319	11.3473079085856
Snx27	-0.982307001358393	-23.3268515303058
Snx30	0.414943917409544	5.93224188427649
Snx32	0.908003337229631	9.77592981736821
Snx6	-0.34457620295436	-9.88733053088892
Snx7	-1.06378237024883	-29.9516254031988
Spg20	-1.02796499501261	-29.4765309529101
Src	-2.32292854564624	-68.4330205464463
Stam	-0.189346545197473	-3.87184309340239
Stam2	0.326476946070898	8.16572124339819
Stx11	1.43624593314911	15.7116667430494
Stx12	0.259305083438275	7.15051193665399
Stx16	-0.155760337367163	-3.96026714314991
Stx18	0.24786225621175	4.62258138953405
Stx1a	0.141703119481654	1.82137096405445
Stx2	-0.367897240001358	-9.98637457289909
Stx3	1.92949221582147	43.5040083804421
Stx6	-0.200927878835156	-4.76569553496882
Stx7	0.242998780868039	5.90873787582836
Stx8	0.297259369304072	4.67931970369271
Stxbp2	1.44892507078935	32.1016544021199
Stxbp4	-0.551307032446957	-10.6277366881915
Stxbp5	-0.467280461148371	-9.60024063183955
Stxbp6	4.69001410937245	25.9386244611646
Synj1	0.806867855443148	15.5999690716086
Synrg	0.337433347659435	5.6977032117012
Tmem9	0.0558710752244478	1.33844283647591
Tsg101	-0.161809624328122	-4.37352400124932
Vamp4	-1.15452839533661	-24.4934422793538
Vps11	-0.0069906565300375	-0.187011766145928
Vps16	0.330676513640046	7.40300225502443
Vps25	-0.0167801117751714	-0.070702366239759
Vps35	-0.26149987557891	-7.41196277622732
Vps36	-0.435442900128433	-11.9023759603787
Vps37a	-0.0886703992404838	-1.93768686814135
Vps37b	-0.559671051143209	-13.1356090481303
Vps37c	0.796824736532622	16.2319109254993
Vps37d	-0.319329793840767	-3.12462649205423
Vps39	0.294226299267836	6.71352830986885
Vps45	-0.236413880874566	-4.19430071098826
Vps4a	-0.232407961363096	-5.70184857532325
Vps4b	0.0577862117502068	1.41794673213406
Vta1	0.242603555600347	5.1240051126826
