	log2FC	t.value
Aagab	0.0997035676548084	2.44855988950098
Abca1	0.120672518841446	0.875090934459519
Acap1	-0.243253061484635	-0.849245186008208
Acap3	-0.0647639678076022	-1.48262372207385
Adap1	-0.276302319774201	-1.02232240750189
Adrb2	0.227714834600974	1.13945334968096
Agfg1	-0.0661966303815227	-1.65546217101655
Ap1ar	-0.0691026707351954	-1.99738942717868
Ap1b1	-0.0411484750862643	-1.25477866161962
Ap1g1	0.0155359781953353	0.247438073072071
Ap1g2	-0.172796566201211	-2.55084039163269
Ap1m1	-0.0232543838571218	-0.578797317469204
Ap1s2	0.0987059938241002	1.81000353931653
Ap1s3	0.113434016028952	1.68666024859118
Ap3b1	0.031360931563559	0.896400584288772
Ap3m1	0.0735688396244756	1.89843309316046
Ap3m2	0.222960790305202	3.80868120415377
Ap4b1	0.260248843871126	3.24714456783518
Ap4e1	0.026373850843461	0.335831239457094
Ap4m1	0.146969563677263	2.87659846342462
Ap4s1	-0.0780138413785338	-0.875190829634862
Ap5b1	-0.136920752846062	-1.73311429536304
Ap5m1	0.0811824584551721	0.793988551351698
Ap5s1	0.199678741453416	2.14515215612981
Ap5z1	0.14262420723907	2.58505235430631
Arap3	0.0261857840986803	0.0847494583407245
Arf1	-0.0194271429885227	-0.618052027438718
Arf5	-0.0729462925954989	-1.31023057195939
Arf6	-0.056862230710836	-1.43614300719401
Arfgap1	0.0502786572397094	1.45353649992873
Arfgap2	0.0403242291435735	1.03682902521355
Arfgap3	0.334918049348414	7.98485684215761
Arfgef1	-0.080160330393781	-1.42186123516584
Arfgef2	0.0363056446077614	0.673433103504182
Arfip1	0.052870114446101	1.15796105911728
Arfrp1	-0.125987685990883	-2.32369471128563
Arhgap33	-0.0314995790496437	-0.246774413995835
Arl1	0.0506711624808052	1.42329448899434
Arl16	0.150664030210274	2.62270757105719
Arl3	0.01374840500847	0.264447423423683
Arl6	0.0964317214438601	2.22375870033015
Arl6ip6	0.120922558549542	2.71016513276795
Arrb1	-0.0712317396170032	-1.33119505152738
Asap1	-0.146568807610532	-3.92439639691112
Asap2	-0.00504759975986868	-0.0792161861746981
Bloc1s4	-0.0444439703831883	-0.791368789143653
Bloc1s5	0.0435883890639928	0.78790832085664
Bloc1s6	0.159502217331299	3.58526096993645
Cav2	-0.0617203372201596	-1.31645578857408
Chml	-0.0459193918191509	-0.510858508047832
Chmp1b	0.150010658335609	3.37309347860651
Chmp2a	0.0260328315247147	0.562729365237077
Chmp2b	0.118503629282219	2.80714874384241
Chmp3	-0.065770869846081	-1.84547932752721
Chmp4b	0.00836020242090818	0.215342694422175
Chmp4c	0.0611605354393729	1.00452223601953
Chmp5	0.143932838769287	3.9683990721036
Chmp6	-0.0156796240348811	-0.326268303359641
Clint1	0.0034748124067967	0.085816127095135
Cltb	0.0484952025242578	1.13075972762292
Ctsa	-0.069806687582683	-1.64481927160893
Dctn1	-0.00750881589085139	-0.201136338976683
Dtnbp1	-0.00912796466479993	-0.182085276343862
