	log2FC	t.value
Ano1	-0.212420410152946	-2.7994757005956
Ano10	0.122216965495194	2.56996474694391
Ano6	0.0689555099983234	1.28735176164639
Ano8	0.192744182733437	4.17743801081555
Cftr	0.144727279102647	1.71547850415388
Clca1	0.333141359483445	0.928778714486742
Clcc1	0.140013417687108	3.5358972334936
Clcn1	0.271467660704265	1.76180394009416
Clcn2	0.177653756025961	3.86076362518665
Clcn3	0.309816452798612	6.07258856186865
Clcn4	-0.0081907904797367	-0.139245176319386
Clcn5	-0.0115546501288195	-0.105948576714922
Clcn6	-0.0171121033203772	-0.34593543097405
Clcn7	0.0429117023462364	1.07131471252305
Clic1	-0.0148322412321056	-0.372098436118296
Clic3	0.0662559515450157	0.263202309296769
Clic4	0.230324918789455	5.64308243657534
Clic5	0.52218259979155	4.86509156752199
Clns1a	-0.125036688489589	-3.14714711241869
Fxyd3	0.297945156192533	1.37843228168581
Gabra1	-0.0973516342678931	-1.05012207085189
Gabrb1	-0.164369244774286	-0.584559861007726
Gabre	-0.0277669017015283	-0.411643954127558
Gabrq	0.413808456699765	1.95273891562304
Glrb	0.0923984925184882	0.867155126117863
Pcyox1	0.17544201940289	4.6297462921519
Slc12a2	-0.00822192516494979	-0.108621800821968
Slc12a4	0.0328660937824345	0.822807306732523
Slc12a5	-0.0865333183578483	-0.316219024243419
Slc12a6	0.244630328376316	3.20396785165193
Slc12a7	-0.049520499127337	-1.21885319696995
Slc12a9	0.113333377520314	1.98576857515651
Slc17a7	0.558494875848502	2.54919346809397
Slc1a4	0.164081984633055	3.66017193683181
Slc26a1	-0.0249664691323135	-0.0521957550824842
Slc26a10	0.292764761897434	1.13457550534615
Slc26a11	0.0489268142935457	0.682903149238959
Slc26a2	0.332299130568859	4.39873543187442
Slc26a6	0.148853402336793	1.81920027259275
Slc4a2	-0.0407754000578242	-1.16579967400538
Slc4a3	-0.0791895830086462	-1.35248235247581
Tspo	-0.0124924261319306	-0.25877907029409
Ttyh1	0.208232928250497	0.878025089426478
Ttyh2	-0.0653178669745298	-1.50319838731529
Ttyh3	-0.0534399390736997	-1.16801560078272
Wnk4	-0.0257256882287555	-0.25200927678089
