	log2FC	t.value
Atg10	-0.025206096412019	-0.16556173302282
Atg14	-0.268121695930252	-4.25386023963903
Atg16l1	0.091080101721011	2.27727578154155
Atg3	0.428616014501457	10.3438635047998
Atg4b	-0.00403654746505389	-0.108274927940396
Atg7	0.0386566599591864	0.930326596558527
Atg9a	5.89312553227472e-05	0.0012294275808214
Atg9b	-3.47998829556812	-17.2088399154901
Bcl2	-0.526640501725212	-7.7392655228674
Gabarap	0.391473307733002	8.82874373674179
Gabarapl1	0.380632722412051	9.81310841392217
Gabarapl2	-0.282165311765203	-6.05445400243064
Map1lc3a	-1.75649159962234	-33.5189879013477
Map1lc3b	-0.0918746775066976	-2.36448216600563
Nbr1	0.123030132210609	3.5287085863316
Optn	3.2808112944244	52.3762662427464
Pink1	-0.484089296796331	-7.2955242718056
Sqstm1	0.641848172472676	19.1436634408939
Ulk1	0.238897532842036	5.95434131020145
Ulk2	-0.254293923508876	-4.81569530299388
Uvrag	-0.490964692934121	-12.964455192032
Wdr45	-0.705763394984492	-11.4428555021859
Wipi1	-0.200270469464192	-4.58717942246683
