	log2FC	t.value
Atg10	0.167151136564652	1.11480667329792
Atg14	0.147995484335549	2.32243378307825
Atg16l1	-0.0108540351399808	-0.272397746996951
Atg3	0.037489176905436	0.918741112988491
Atg4b	0.0157808455492576	0.423457972037382
Atg7	-0.0156791191303869	-0.377766470419777
Atg9a	0.244129286322437	5.16684969872646
Atg9b	0.340016002502905	1.42577865297779
Bcl2	-0.0620383910069102	-0.86901307412707
Gabarap	0.0694087337859353	1.58089867677649
Gabarapl1	0.169661546216418	4.43491315452596
Gabarapl2	0.0876016196504654	1.85805450878211
Map1lc3a	0.104786746375312	1.85388617073601
Map1lc3b	0.168727550137127	4.35341840214691
Nbr1	0.336253357482834	9.74838725252084
Optn	0.0299358078507943	0.669436161467594
Pink1	0.322235218495101	4.78939611262378
Sqstm1	0.239067362957655	7.21919997894889
Ulk1	0.166569454573223	4.20824366358066
Ulk2	0.202729381354642	3.82761390594028
Uvrag	0.0567006179379854	1.46701058708859
Wdr45	0.302700340588108	4.77173517382303
Wipi1	0.207805457365756	4.76092200127033
