genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Rab12	-0.850212237167626	6.04227250017068	-22.236844680903	2.63747800922388e-13	3.5685136182195e-12	20.2083653307865
Snx27	-0.982307001358393	7.17692848383619	-23.3268515303058	1.26896513609099e-13	1.91790116804177e-12	20.9050334932114
M6pr	-0.109075597020984	7.3496971457599	-3.35991310809706	0.00406421611782675	0.00624631880378202	-4.40737763664967
Chmp5	0.296724900122513	6.24024280109121	8.07965214182914	5.4993551151827e-07	1.51653579417983e-06	4.84766970431736
Mtm1	0.588331356380125	2.80835411653786	7.77478989947532	8.98027158746164e-07	2.38610372503775e-06	5.01422809082253
Stx8	0.297259369304072	3.96585940264364	4.67931970369271	0.000262658241735991	0.000476835101345176	-1.20033034901822
Snx16	-0.570101550607878	3.96980838614824	-10.9227147698769	9.50703109138298e-09	3.73647321357617e-08	9.46266341682044
Rilp	0.627829670223889	0.268825682506244	4.05981076424217	0.000939843529182695	0.00158067346723337	-1.3976985341999
Adrb2	-1.57019860574487	0.587796555927699	-8.7912135738416	1.83085230931416e-07	5.52572965675426e-07	7.28268236573108
NA	NA	NA	NA	NA	NA	NA
