genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Rab3a	-0.557709788752502	2.41130436619981	-5.84119303380059	2.68530055177391e-05	5.63096772996864e-05	1.60674254263236
Rab3b	5.58195242373014	3.00722342209215	40.6235785903377	2.37755663604048e-17	1.53200748177456e-15	29.7540433759025
NA	NA	NA	NA	NA	NA	NA
Rab3d	-0.601116744113299	3.31390172979768	-9.88109529827867	3.80370364289201e-08	1.31012740080077e-07	8.18382181127009
Rab6a	-0.274502272981522	7.2843943896146	-6.99022737942276	3.35397102982248e-06	8.08194496536786e-06	2.88252329030704
Rab6b	-1.78699725468331	4.58822937331118	-33.9396282146964	3.89661197059784e-16	1.49542034891228e-14	27.2302071999915
NA	NA	NA	NA	NA	NA	NA
Rab8a	-0.372797546045907	6.24579732735514	-9.25431223960701	9.24080615515352e-08	2.95170425902476e-07	6.71821019847305
Rab8b	-0.204794745956066	5.84324798520432	-3.77785572886374	0.00169308053037639	0.00273894564982266	-3.41144105557874
Rab10	-0.43255314038283	7.46376817489541	-10.1241088103088	2.72625317739585e-08	9.67754981901253e-08	7.92425329463613
Rab11a	-0.134053387127282	6.29706651038085	-3.74291934502904	0.00182154642167835	0.00293433887558021	-3.5336873380529
Rab11b	-0.0501550076664152	6.24479780939304	-1.39524482219305	0.182335789246949	0.217939983818986	-7.8812189311351
Rab25	0.628775464979278	-1.90646873462182	1.45008765949242	0.166686472975164	0.200628548992629	-5.67551754633127
Rab14	-0.176126330796546	7.36054961630046	-3.89982889700847	0.00131194380924636	0.00215600505511959	-3.27450528468977
Rab15	0.932423216823226	1.54981042353411	5.81301055590014	2.85371767932264e-05	5.95939069389622e-05	1.80614909247862
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Rab33b	-0.281616553310404	4.30637103687975	-5.39321895439262	6.34216177665629e-05	0.000125671436470367	0.188154782275358
Rab37	1.88017347307539	-1.51386829226258	5.66742998064272	3.73600172522429e-05	7.66688270164639e-05	2.29002014954891
NA	NA	NA	NA	NA	NA	NA
Rab39b	-0.845894918000697	3.33419266921664	-13.8806743014708	3.07322532950931e-10	1.65818615470216e-09	13.2507910593109
Rab1b	0.400026424145935	7.71450778847886	9.86467491847979	3.89112324973605e-08	1.3373456841105e-07	7.53631659566309
Rab2a	0.283552214271398	8.08318309515692	8.9728158972647	1.3961747875887e-07	4.31785597947145e-07	6.17544847800611
