genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Snx32	0.908003337	2.328444136	9.775929817	4.40E-08	1.50E-07	8.31461625
Aagab	-0.446456262	5.302234093	-11.14945415	7.13E-09	2.86E-08	9.524720355
Arhgap33	-0.854342197	2.20214995	-7.284631281	2.03E-06	5.05E-06	4.356046394
Snx30	0.414943917	4.664019412	5.932241884	2.61E-05	5.48E-05	1.075890455
Snx19	-0.047728494	5.674451412	-1.098011871	0.28872788	0.332150551	-8.179449668
Snx21	-0.667572338	4.020971714	-10.27526911	2.22E-08	8.05E-08	8.558639098
Snx22	0.316322196	-0.948351632	1.161049786	0.262943797	0.305088846	-6.311958762
Snx24	0.666595981	3.974019558	11.34730791	5.56E-09	2.29E-08	10.03819218
Snx7	-1.06378237	5.828247724	-29.9516254	2.70E-15	7.45E-14	25.05223348
Stxbp2	1.448925071	4.894742265	32.1016544	9.24E-16	3.06E-14	26.28751526
Mvb12b	-0.468855697	4.986963806	-11.26321327	6.18E-09	2.52E-08	9.724263655
Rab11fip2	0.925903003	5.129764208	9.629163664	2.44E-06	6.01E-06	4.017659881
Rab21	-0.489555306	6.664361359	-13.18790011	6.47E-10	3.26E-09	11.91737489
Rab15	0.932423217	1.549810424	5.813010556	2.85E-05	5.96E-05	1.806149092
Rab25	0.628775465	-1.906468735	1.450087659	0.166686473	0.200628549	-5.675517546
Pitpnm1	-0.389159211	6.856837627	-9.735455448	4.66E-08	1.58E-07	7.397172944
Snx14	-0.17979564	4.799360431	-3.522928826	0.002888326	0.004526161	-3.79977192
Chmp1b	-0.131424739	4.921266204	-2.952462296	0.009497878	0.013871632	-4.996062116
Mvb12a	-0.077643432	5.226807766	-1.350337266	0.196022938	0.23303676	-7.820660109
Ramp2	-2.006807478	-2.075649007	-5.320064718	7.32E-05	0.000143763	1.725945735
Snx12	-0.321344522	6.544168828	-8.565616185	2.58E-07	7.56E-07	5.616394235
Rab18	-0.281522387	7.037979736	-7.609032709	1.18E-06	3.06E-06	3.992243215
Rab40b	1.262476248	-0.100534202	6.284996111	1.18E-05	2.61E-05	3.196101445
Rab40c	0.072673065	4.9896118	1.689274061	0.110891935	0.138024317	-7.304462977
Rab44	-4.118153626	-3.988264867	-8.927312994	1.49E-07	4.59E-07	7.586289676
Rab11fip1	-0.21310543	5.354896137	-4.920654534	0.000161404	0.000302267	-0.962637094
Rab4b	0.241384549	1.470521028	1.683129787	0.112093919	0.13940478	-6.341149226
Acap1	-0.443942269	-1.129238913	-1.656396758	0.117455621	0.145465484	-5.66206838
Rab11fip5	-1.643348869	6.224340614	-43.54698731	8.04E-18	6.81E-16	31.10628422
Gnptab	0.936722175	6.379029203	22.59234525	2.07E-13	2.89E-12	20.43985873
Stxbp4	-0.551307032	4.796878193	-10.62773669	1.39E-08	5.28E-08	8.910357226
