genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ap5b1	-0.136920752846062	2.94191089127101	-1.73311429536304	0.102635535062866	0.295525415228825	-4.81700306827343
Ap5m1	0.0811824584551721	3.58036421182473	0.793988551351698	0.441239402200652	0.678743153517813	-6.11041780411549
Ap5s1	0.199678741453416	2.78442987227861	2.14515215612981	0.0479186257169647	0.183850245341436	-4.19225474030114
Ap5z1	0.14262420723907	3.8669878194077	2.58505235430631	0.0201372188593736	0.103856578689088	-3.67314217602624
Rab35	-0.0581527277869522	6.75043026831305	-1.52641398435703	0.146767596118872	0.366973958233696	-5.8000594784536
Tsg101	0.0239339805017771	5.83686305637028	0.643590222588095	0.529116269761197	0.746370782728388	-6.64612387840683
Stam	0.075541336658298	5.84996743860087	1.53817403149687	0.1438832884345	0.361900433017322	-5.7018564425058
Stam2	0.0243045574428358	5.9311755865983	0.615458717432874	0.54705664059032	0.758689175117635	-6.68865451549253
Abca1	0.120672518841446	5.21171641056247	0.875090934459519	0.408902781211659	0.649285036833197	-6.37432523563969
Hgs	0.0619095594220216	6.53060270203209	1.46896045379789	0.161563893743901	0.387406959914549	-5.87005684509573
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Vps25	-0.495157049906637	-1.08258875381446	-1.98493308494129	0.0648802339465323	0.222558101728326	-3.93914414524868
Vps37a	0.0964125329583947	5.96137709560458	2.10722458827303	0.0515190050850121	0.192710124610874	-4.81933568581752
Vps37b	0.118831806185502	4.93688083613954	2.72108873827589	0.0152798277150125	0.0865036832289471	-3.53448719432861
Vps37c	0.196147044632877	5.40221743754249	4.19713109557476	0.000706667479746167	0.0107218986413425	-0.665535056300615
Vps37d	0.131295006970056	1.49074559901114	1.26041925710997	0.225900785494313	0.467101182666389	-5.09121478822022
Vta1	-0.0196023571844579	5.25729856908399	-0.41878925503851	0.681034246908669	0.844978941212039	-6.71376132272621
Vps4a	0.0979014919670256	6.03083785224471	2.39139583913801	0.0296567985367087	0.134637909970364	-4.31750323648082
Chmp2a	0.0260328315247147	6.03175916129165	0.562729365237077	0.581553854614901	0.782215260951881	-6.70880407845665
Chmp2b	0.118503629282219	6.17866986808488	2.80714874384241	0.0128130310208305	0.0769273158451547	-3.54971012304616
Chmp3	-0.065770869846081	6.6045168518247	-1.84547932752721	0.0838820777293275	0.260496940318487	-5.30953337810196
NA	NA	NA	NA	NA	NA	NA
Chmp4b	0.00836020242090818	7.83464330499528	0.215342694422175	0.832268252477602	0.925858939784045	-6.95183137427835
Chmp4c	0.0611605354393729	3.990649069579	1.00452223601953	0.330334818886333	0.580967084721081	-6.12141668172871
Chmp6	-0.0156796240348811	5.343377172729	-0.326268303359641	0.748523231272879	0.883951124497717	-6.7494649715895
Snf8	-0.0245482168377746	5.65116613806068	-0.506933770043355	0.619235592783955	0.806027918932356	-6.72328692886861
Vps36	-0.0120009433457309	6.27332652735347	-0.323915144716666	0.750270519499863	0.885285289700743	-6.83865935380697
Rab13	0.246894052557908	3.89185077427898	4.23935072890941	0.000647514234773886	0.010108452530498	-0.298939920582096
Rab12	0.00665605159151195	6.04227250017068	0.169518445706428	0.867550395465892	0.941705879683956	-6.84207486538264
Snx27	-0.0641472825456875	7.17692848383619	-1.49228175175302	0.155414748457729	0.3788659779648	-5.84940829080775
M6pr	-0.0284005896600217	7.3496971457599	-0.872560701078042	0.3960308361866	0.63908593558794	-6.58406950285691
Chmp5	0.143932838769287	6.24024280109121	3.9683990721036	0.00113699791827354	0.0149984106186412	-1.19218570983048
Mtm1	0.350717278226023	2.80835411653786	5.12178360755176	0.00010810009557057	0.00321793022137639	1.45655551919759
Stx8	0.029276554907633	3.96585940264364	0.473857515850965	0.642113695650838	0.821691422564631	-6.45435938202832
Snx16	0.0437640333322178	3.96980838614824	0.804686850748724	0.432998694749379	0.671834588773753	-6.17576271452073
Rilp	-0.113268011451029	0.268825682506244	-0.780609331765376	0.446624596725072	0.683896930713591	-5.27467666767375
Adrb2	0.227714834600974	0.587796555927699	1.13945334968096	0.271574172878	0.52016065653447	-4.9254244499257
NA	NA	NA	NA	NA	NA	NA
Vps4b	-0.00805136210000335	6.67821348059722	-0.197787573311905	0.845745374066301	0.930732997806048	-6.91746732670988
Lyst	0.165724365723174	4.3283370596074	1.28314342862698	0.233231983753413	0.475513854376425	-5.8053492703914
Bloc1s5	0.0435883890639928	3.76387927760151	0.78790832085664	0.442465891827432	0.67996181511767	-6.16749408613025
Ap1m1	-0.0232543838571218	6.74144215417115	-0.578797317469204	0.57092398831876	0.774320295287583	-6.76327483623109
NA	NA	NA	NA	NA	NA	NA
Plekha8	0.0942138113598583	4.99564934948337	1.89927457866202	0.0760305158026368	0.245208201120018	-5.07503811438471
Stx18	0.122250966299999	4.66998017813821	2.33509452687512	0.033139817114514	0.144823683053045	-4.26471888333038
Dctn1	-0.00750881589085139	7.51213431158031	-0.201136338976683	0.843170548339746	0.929743975063644	-6.9633955602904
Stxbp5	0.0612521940831501	5.71598176179425	1.23837590409423	0.233745806501404	0.476164312733419	-6.06110281489001
Pik3c2a	0.191824048062053	6.10763940369797	1.15685158721299	0.286446871707382	0.535288831267954	-6.15286493750854
Rab3d	0.291206627290055	3.31390172979768	4.66589173011263	0.000269920422924637	0.00581106163940098	0.581927867885364
Stx3	-0.0825379502261141	5.23490948677688	-2.08803062537033	0.0534341945086863	0.197049603772258	-4.83092934588848
NA	NA	NA	NA	NA	NA	NA
