genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Rab12	0.00665605159151195	6.04227250017068	0.169518445706428	0.867550395465892	0.941705879683956	-6.84207486538264
Snx27	-0.0641472825456875	7.17692848383619	-1.49228175175302	0.155414748457729	0.3788659779648	-5.84940829080775
M6pr	-0.0284005896600217	7.3496971457599	-0.872560701078042	0.3960308361866	0.63908593558794	-6.58406950285691
Chmp5	0.143932838769287	6.24024280109121	3.9683990721036	0.00113699791827354	0.0149984106186412	-1.19218570983048
Mtm1	0.350717278226023	2.80835411653786	5.12178360755176	0.00010810009557057	0.00321793022137639	1.45655551919759
Stx8	0.029276554907633	3.96585940264364	0.473857515850965	0.642113695650838	0.821691422564631	-6.45435938202832
Snx16	0.0437640333322178	3.96980838614824	0.804686850748724	0.432998694749379	0.671834588773753	-6.17576271452073
Rilp	-0.113268011451029	0.268825682506244	-0.780609331765376	0.446624596725072	0.683896930713591	-5.27467666767375
Adrb2	0.227714834600974	0.587796555927699	1.13945334968096	0.271574172878	0.52016065653447	-4.9254244499257
NA	NA	NA	NA	NA	NA	NA
