genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Rab3a	0.449975736659719	2.41130436619981	4.66820032388505	0.000268657389704948	0.0058022584937932	0.617203253153344
Rab3b	0.011992567848611	3.00722342209215	0.227360413764723	0.823073050241989	0.922360318954616	-6.71218942366844
NA	NA	NA	NA	NA	NA	NA
Rab3d	0.291206627290055	3.31390172979768	4.66589173011263	0.000269920422924637	0.00581106163940098	0.581927867885364
Rab6a	0.108730415369761	7.2843943896146	2.76023415946215	0.0141056086283799	0.0819538478304905	-3.70262819535708
Rab6b	0.0205364536429964	4.58822937331118	0.352616162836581	0.729057972106436	0.87373759716566	-6.47184173381768
NA	NA	NA	NA	NA	NA	NA
Rab8a	0.0551234105131417	6.24579732735514	1.3561694662068	0.19419991209851	0.430035670151105	-5.9802471843721
Rab8b	0.160794548987737	5.84324798520432	2.9611494734619	0.00932871694961933	0.0621835036173433	-3.20196017296959
Rab10	0.00452075208744507	7.46376817489541	0.105013140085465	0.917693184938776	0.964458142883063	-6.97036143305052
Rab11a	0.102466462804498	6.29706651038085	2.85826041108605	0.0115355425564956	0.0716175541209467	-3.45021731063956
Rab11b	-0.0443234534675101	6.24479780939304	-1.22952761792375	0.236953836908376	0.479946060168588	-6.14248851773141
Rab25	0.230051249425845	-1.90646873462182	0.572610832481891	0.575004666645258	0.777301427802379	-4.96212241472707
Rab14	-0.0227167109459563	7.36054961630046	-0.50111961422548	0.623228807323662	0.809042551430354	-6.84333837074029
Rab15	0.00233148447074139	1.54981042353411	0.0163848049537499	0.987133873419417	0.994757509975624	-5.9436559794659
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Rab33b	0.179270221365555	4.30637103687975	3.40784682198515	0.00367605465130315	0.0336803181568781	-2.09286678023133
Rab37	0.074959925736779	-1.51386829226258	0.280697912643044	0.782601551036276	0.902106385913217	-5.20382560202673
NA	NA	NA	NA	NA	NA	NA
Rab39b	0.312001748930924	3.33419266921664	4.90840095223497	0.000165418690106456	0.00425308021295056	1.05318034194113
Rab1b	-0.0584697883765859	7.71450778847886	-1.44989027927512	0.166740747486353	0.395892342317063	-5.96238716304707
Rab2a	-0.0505849553417974	8.08318309515692	-1.60605887043236	0.128152079935369	0.33826791430007	-5.75784477125209
