genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Snx32	0.0325480985495838	2.32844413575843	0.39405537490307	0.698832320957261	0.856206297460782	-6.09654602571963
Aagab	0.0997035676548084	5.30223409277809	2.44855988950098	0.0264754205894886	0.124527526461464	-4.11675232034209
Arhgap33	-0.0314995790496437	2.20214994984219	-0.246774413995835	0.808275434071083	0.916170316105764	-5.91382354915524
NA	NA	NA	NA	NA	NA	NA
Snx30	0.0294367240234825	4.66401941206198	0.434087881509062	0.670326986798225	0.838806038462928	-6.60701235763196
Snx19	0.0799536870441315	5.67445141225027	1.84151399432927	0.0844884036120289	0.26132888285275	-5.23363447921887
Snx21	0.00411967824211512	4.02097171440713	0.0602227394467639	0.95273695751147	0.978162433985614	-6.5045310792539
Snx22	-0.0295639443190578	-0.948351632361585	-0.111603473122028	0.912549923976383	0.961646555435865	-5.22217477166124
Snx24	-0.0764283946651165	3.97401955820328	-1.37286038513886	0.189058067427199	0.423277877377861	-5.65861678205255
Snx7	0.0545795670864875	5.82824772362048	1.48305344576557	0.157824303634744	0.381729497696915	-5.73867188511738
Stxbp2	-0.0622341009733471	4.89474226502185	-1.5179001657771	0.1488858727453	0.369900342744908	-5.67117033921605
Mvb12b	0.0456990729532558	4.98696380599267	1.07227917077948	0.299775537089082	0.549892849079292	-6.13917866318929
Rab11fip2	-0.044233499129426	5.12976420838449	-0.484964649570261	0.638264044019449	0.818940536701914	-6.68176054481866
Rab21	0.0835572371708873	6.66436135886446	2.22942386520633	0.0407342842717873	0.165839163579731	-4.65365891971093
Rab15	0.00233148447074139	1.54981042353411	0.0163848049537499	0.987133873419417	0.994757509975624	-5.9436559794659
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Rab25	0.230051249425845	-1.90646873462182	0.572610832481891	0.575004666645258	0.777301427802379	-4.96212241472707
Pitpnm1	-0.00919398511742031	6.85683762674204	-0.227914148340764	0.822649998246145	0.922232128977719	-6.9101277224673
Snx14	0.179456108008079	4.79936043130301	3.51543212153659	0.00293407086223789	0.0288941393464911	-1.95802537862281
Chmp1b	0.150010658335609	4.92126620390184	3.37309347860651	0.00395359297079623	0.0353542882562692	-2.26501096677685
Mvb12a	-0.00457316990143308	5.22680776573726	-0.0791881625985239	0.937881913767665	0.972503444195777	-6.77948502556131
Ramp2	0.862368276838157	-2.07564900701171	2.15402224052258	0.0471107336181706	0.182295007308397	-3.92386384716543
Snx12	-0.0549659177102333	6.54416882814881	-1.45136477685869	0.166335650422195	0.395398021779903	-5.87843923552986
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Rab18	0.180580128321443	7.03797973586093	4.87048074337134	0.000178506631207812	0.00448171064328623	0.622803985080033
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Rab40b	0.471902540387057	-0.100534202319545	2.89962379948046	0.0105931527471085	0.0677563667133272	-2.61103065885421
Rab40c	0.0609578257417454	4.98961179994872	1.42758507434418	0.172968563556332	0.403176426098634	-5.75095252731018
Rab44	1.14774185945938	-3.98826486733493	2.23078012874449	0.0406272902943238	0.165618878268295	-4.06404183642769
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Rab11fip1	0.158466135541625	5.35489613666333	3.64934725021135	0.00221599346788711	0.0236846591946596	-1.75543787163037
Rab4b	0.198377729417121	1.47052102778529	1.44887282215723	0.167020753414564	0.396184056501325	-4.89562576764964
Acap1	-0.243253061484635	-1.12923891284824	-0.849245186008208	0.408488056927801	0.64895555959573	-4.90930905409889
Rab11fip5	0.174110472902046	6.22434061406499	4.4273199323764	0.000439476163060129	0.00790047963397875	-0.18718052206795
Gnptab	-0.0949657273359525	6.3790292034166	-2.34734082575145	0.0323509959587902	0.142771108997389	-4.44952682351174
Stxbp4	0.263507356502194	4.79687819312525	4.99690576304811	0.000138571591094589	0.00370265183167078	1.06610307059182
