genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Cltb	0.0484952025242578	5.55933833906034	1.13075972762292	0.275107843780513	0.523301184075823	-6.16507638408933
Arap3	0.0261857840986803	-2.02349250563162	0.0847494583407245	0.933530160635283	0.970534178024518	-5.04168063922628
Myo5b	0.144858707913581	-2.04623561761184	1.31480776066226	0.207427464749282	0.445765081554598	-5.041058145309
Arf6	-0.056862230710836	6.62568522750385	-1.43614300719401	0.170556886451037	0.400326746822116	-5.90200561050531
Ap4s1	-0.0780138413785338	2.42829157512101	-0.875190829634862	0.394641541572621	0.637501006700103	-5.7404440024961
Arf5	-0.0729462925954989	6.53260349995598	-1.31023057195939	0.209979442910566	0.448519818317696	-6.06507771801807
Arfgap2	0.0403242291435735	5.62087724024617	1.03682902521355	0.31549711978763	0.566065532443533	-6.28201288275994
Arfgap3	0.334918049348414	5.22652917040136	7.98485684215761	6.39716346603028e-07	0.000100496598656948	6.35078385420348
NA	NA	NA	NA	NA	NA	NA
Stxbp6	-0.0301135719340397	1.75983414773486	-0.408177252572851	0.688647369730923	0.849778588954748	-6.34077476923385
Osbpl1a	0.0672254418276799	4.61254509981469	1.16760947411725	0.260363959163388	0.50838227610466	-5.94805857665953
Vps11	-0.0161805341914381	5.89816229375124	-0.432448280559663	0.671287529850599	0.839471299608712	-6.7732838607404
Vps39	0.137095019999466	5.17973952005321	3.20062193237079	0.00567031114869011	0.0445711505854366	-2.66710318039149
Ap1g2	-0.172796566201211	3.28029410164066	-2.55084039163269	0.0215741247338583	0.108935067746776	-3.59772207007254
Ap4b1	0.260248843871126	2.28972271825344	3.24714456783518	0.00514534417081285	0.0418958913294787	-2.08885421601748
Ap4e1	0.026373850843461	4.80690956925546	0.335831239457094	0.742432483126927	0.880897671914207	-6.65891115615635
