#GENE	10_1neg_24h	11_1neg_24h	12_2neg_24h	1_1pos_12h	1_PS1	1_PS1_iso	1_PS2	1_WT	1_WT_iso	2_1pos_12h	2_PS1	2_PS1_iso	2_PS2	2_WT	2_WT_iso	3_2pos_12h	3_PS1	3_PS1_iso	3_PS2	3_WT	3_WT_iso	4_1neg_12h	5_1neg_12h	6_2neg_12h	7_1pos_24h	8_1pos_24h	9_2pos_24h
0610005C13Rik	28	20	27	15	4	2	35	10	9	16	3	2	45	12	11	16	2	2	36	10	23	19	16	17	10	12	17
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	568	589	662	596	590	615	729	410	417	649	535	571	689	383	386	579	514	595	696	362	438	725	768	733	541	581	499
0610009E02Rik	27	23	33	20	12	7	26	13	17	19	8	7	16	10	14	10	13	10	14	6	14	21	17	23	16	17	17
0610009L18Rik	99	100	150	95	30	29	20	19	24	91	37	20	16	15	18	97	24	22	21	15	18	117	110	112	70	64	61
0610009O20Rik	2843	2811	2829	3167	1423	1305	2501	1392	1420	3344	1480	1404	2313	1431	1489	3177	1400	1492	2512	1386	1531	3218	3325	3325	2990	3175	2585
0610010F05Rik	1010	1025	1011	1008	1226	1418	889	2458	2489	967	1549	1314	1059	2732	2477	1127	1520	1361	1044	2183	2421	848	850	1028	1160	1209	1191
0610010K14Rik	82	76	92	63	53	59	70	42	47	42	67	62	69	41	57	59	54	63	71	46	48	52	53	54	48	42	59
0610012D04Rik	0	0	0	0	1	1	0	0	2	0	2	1	3	1	2	0	1	0	2	0	1	0	0	0	0	0	0
0610012G03Rik	1097	1171	1176	1783	1758	1403	3573	1428	1337	2039	1688	1443	2807	1342	1245	1730	1527	1545	3199	1380	1410	1563	1798	1525	1733	1871	1392
0610025J13Rik	3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	3	0	3	1	1	1
