genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.72818954594167	9.16245196788617	-143.354150202978	8.55310898852947e-26	1.25571939557789e-21	49.165517503426
Spp1	-4.59454566785259	8.09448334596299	-137.609561469504	1.61955168063183e-25	1.25571939557789e-21	48.5129573715157
Igfbp4	5.71565797915362	6.62048066112186	112.215786357201	3.90947531236483e-24	2.02080778896138e-20	45.2299756143745
Ezr	2.98997858923239	9.08640759603461	98.6885392033895	2.90056226733669e-23	1.05422936335693e-19	43.7575378750976
Epb41l1	-3.47928030805493	8.35172214031169	-97.6899595424168	3.39920475706754e-23	1.05422936335693e-19	43.5856649568756
Angptl2	-3.5452630635867	5.78660597014996	-88.7051766444315	1.53057250865312e-22	3.39065541309771e-19	41.9637498334924
Ank	-6.47336653570081	5.28899570480141	-90.8670090890776	1.05144230175359e-22	2.71745262888214e-19	41.4866676320018
Tmem151a	4.20984517615812	5.90451824875793	82.2220091419355	4.99734725659364e-22	9.6867329884997e-19	40.8043791025711
Akap12	3.38004177820791	6.35080050036194	79.8375003708356	7.90611839527291e-22	1.30192513515107e-18	40.4495754099779
Lbh	2.720108722647	6.74925190010807	78.1771082114051	1.09702709371198e-21	1.54650901292651e-18	40.1535285797204
Ptx3	3.94960649042867	5.38618038667475	77.5551435690803	1.24245212721339e-21	1.57305268176282e-18	39.8505843072664
Cxcl12	6.14868260065392	4.92512051669828	77.2591595807377	1.31873894776015e-21	1.57305268176282e-18	39.241852192294
Krt19	5.44746637004538	5.80436461952433	74.5744359997435	2.99378748033378e-21	2.92096494325913e-18	39.0093140201752
Aqp5	-5.19758333777812	4.61037900635553	-75.1540231306075	2.02822783049061e-21	2.24655206910128e-18	39.0040818551728
Tnfaip2	-4.33720920678014	5.03814705905469	-72.2470994678969	3.74999480314979e-21	3.4206570242614e-18	38.7303390368797
Gata6	3.89990516598327	4.9032723714642	71.7166558715023	4.20616475632922e-21	3.62361093757763e-18	38.6424873886015
Cavin2	-2.40213650191357	7.35376109192619	-70.1895445556437	5.88154161434641e-21	4.80026662177209e-18	38.4798975227604
Myrf	8.9949204330918	5.20757856951548	79.5303130870277	8.39572538305972e-22	1.30192513515107e-18	38.4334688245927
Src	-2.32214723469634	7.76974861564077	-68.7457878491771	8.12968906374125e-21	5.73032219597435e-18	38.1490592597644
Jag1	3.6214858382626	4.71364211024295	68.9572991507048	7.7498987097317e-21	5.72274663294331e-18	38.0649709799838
Tmem98	3.73160454015881	5.65413945040848	67.7881077212623	1.01147256775917e-20	5.91561404675303e-18	37.9162784805125
Rbl1	-2.79344750512583	7.10581159218181	-67.6901406673417	1.03451068680599e-20	5.91561404675303e-18	37.9142395976761
2900097C17Rik	-2.41735554966437	7.38058098675185	-67.5981167394267	1.05666013143508e-20	5.91561404675303e-18	37.888584954241
Fgfr1	-3.04223442885453	6.01038872507066	-67.3487307585432	1.11926018237009e-20	5.91561404675303e-18	37.8387158991598
Gpc1	-3.25267469536012	7.16259252425157	-67.3476587259089	1.11953764435903e-20	5.91561404675303e-18	37.8353244480936
Loxl4	-4.03088083247545	5.15415792659689	-67.2525743202189	1.14444071324299e-20	5.91561404675303e-18	37.7358204805448
Rprd1b	-2.44082467004941	7.00692664876012	-66.8589978985205	1.25396457444941e-20	6.27265440515708e-18	37.7198893986106
Acta2	3.11478384492498	7.87570814645922	65.5140401161575	1.72066904396803e-20	8.08558026206431e-18	37.3896303735657
Adcy7	-3.05517939333785	5.66881628578043	-65.1064870830236	1.89622515771312e-20	8.64845985901688e-18	37.3110270982173
Gm8730	-6.68377211917966	4.3004051481007	-69.4048130790196	7.00716395073131e-21	5.43300456919952e-18	37.1916472066093
Ppl	6.35186536554714	4.61465252244429	67.2703360029709	1.13974446015185e-20	5.91561404675303e-18	37.1565167055238
Adgra2	-2.96407279216566	7.39509427805577	-64.5272521147776	2.17926275083206e-20	9.38717429920911e-18	37.1563603109442
Col18a1	-3.48208046850376	5.51632196173647	-64.1528399227704	2.38589635437224e-20	9.80420880353178e-18	37.0767858732623
Prrx1	-3.00590486029286	6.67382359566014	-64.1242187698214	2.40252746846074e-20	9.80420880353178e-18	37.0718249312779
Epb41l4a	5.05471664020248	4.23076254204984	66.0886106086758	1.50194751077552e-20	7.27834376549874e-18	37.0239591754571
Cyp1b1	7.73619690577321	4.90884849121245	68.4431517009102	8.70791706915547e-21	5.87102913006061e-18	36.8613865127107
Rasa3	-2.28637191935109	6.66372356476871	-63.2140031552678	3.0013228861709e-20	1.16887022589408e-17	36.8419025901729
