genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Herpud1	1.08071118723941	6.94848387648103	25.8552023506782	3.03021039899578e-14	2.89597085001621e-10	21.8119105407659
Hmox1	0.930278265400834	6.5518831867992	25.5037744011377	3.73504978398944e-14	2.89597085001621e-10	21.6097881384029
Ddit3	0.972888442416186	4.81555579396919	19.6958163608294	1.88449685294734e-12	9.74096423288479e-09	17.9745877104428
Hspa5	0.666852351702039	10.6904829660897	18.1390889365578	6.48219622821085e-12	2.51298542277164e-08	17.5372050353784
Fmnl1	-0.707718992353967	6.01332835689508	-16.9385996716242	1.79917803089732e-11	5.57997074502496e-08	16.3031431396741
Pdgfb	-0.767264717362942	4.81538784275906	-14.8285633094724	1.28147933777581e-10	3.31198334848159e-07	14.3787838076454
Xbp1	0.571108323082026	6.48886771064563	14.0757822876397	2.74128473920626e-10	5.08013052332471e-07	13.8828740745596
Syvn1	0.609942064759094	6.85768506959554	14.0054400525976	2.94842166182514e-10	5.08013052332471e-07	13.8389889808671
Dnajb9	0.808238909000673	4.05059616608984	14.022041841569	2.89808316322062e-10	5.08013052332471e-07	13.5176714559849
Itga3	-0.473257282475858	8.56970850792815	-13.6298814050485	4.37360462000934e-10	5.73468072862613e-07	13.4939242798236
Trib3	0.648017780037089	6.17384522447385	13.6161811843115	4.43774867759809e-10	5.73468072862613e-07	13.4010855296636
Edn2	0.673760897584233	2.30506350911491	13.6871861929087	4.11575829404006e-10	5.73468072862613e-07	13.1892931390707
Pde4b	0.610972211586166	4.66194441081313	13.5310162036838	4.85950336520593e-10	5.79663989878833e-07	13.1164754213352
Nqo1	0.637997590502053	5.54516366228051	13.0625484225579	8.07844708575059e-10	8.94803421133818e-07	12.6953286384396
Klhl30	-0.861889674961301	3.78902006077819	-12.9466315158827	9.18284586236677e-10	9.49322605251477e-07	11.8449897935868
Spon2	0.670905092181898	5.5460691074785	11.8829882779869	3.11862045185661e-09	3.02252795918378e-06	11.3788277007575
Manf	0.542644385136408	7.2606369802696	11.6970351292079	3.89733674133018e-09	3.35755560265595e-06	11.3574932554618
Slc43a3	0.411538624479491	6.48463720000506	11.5154212340759	4.85871777324069e-09	3.9654808689286e-06	11.1306065165527
Per2	0.62767094468294	3.50276620503492	11.7334843725148	3.72988206894077e-09	3.35755560265595e-06	11.0523900253455
Srxn1	0.471065699994986	6.23968592742446	11.3270673752319	6.12515667262488e-09	4.66551116883205e-06	10.89748243591
Tubb3	0.630032290090875	4.75876512235377	11.3020275377851	6.31816176858664e-09	4.66551116883205e-06	10.8077494587231
Vegfa	0.481087626174642	6.51555320285228	11.2298300881919	6.91150068180215e-09	4.87166550330482e-06	10.7933390532794
Selenos	0.404700207630815	5.42950467845617	10.6235090907061	1.49615823745154e-08	9.28037031526439e-06	10.0236295785345
Cry1	0.500451971044443	5.06890882612418	10.6412650757356	1.46199464364431e-08	9.28037031526439e-06	10.0190719126265
Dusp1	0.55626379129115	5.26297521910752	10.579154120813	1.58523544582401e-08	9.44174828349895e-06	9.94858622023733
Fbln2	-0.381008955776741	9.67682893743943	-10.551334197602	1.64394920780597e-08	9.44174828349895e-06	9.93405998377202
Slc2a1	0.544959059239923	7.29683783825655	10.6714272302323	1.87284951355342e-08	1.03722419309546e-05	9.83695464518464
