genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.86134406868114	9.16245196788617	-145.539611729344	6.75372295865858e-26	9.09012710720083e-22	49.3645502138282
Spp1	-4.74637290336461	8.09448334596299	-140.487491908242	1.17239016021162e-25	9.09012710720083e-22	48.7792027362448
Igfbp4	5.73183023735211	6.62048066112186	112.505400474979	3.75535553649547e-24	1.94114327681451e-20	45.2710537483091
Epb41l1	-3.49717429099411	8.35172214031169	-97.9114431243856	3.2812255421227e-23	1.27204911204242e-19	43.6200387587273
Ezr	2.8048867866884	9.08640759603461	92.3429039569097	8.17830378770345e-23	2.53641913671835e-19	42.7436133814665
Angptl2	-3.7053820683354	5.78660597014996	-89.686879465786	1.28919367587566e-22	3.04763382401435e-19	42.0917021283573
Ank	-6.40703929541291	5.28899570480141	-89.3139974347631	1.37572946205588e-22	3.04763382401435e-19	41.2592622374935
Ptx3	4.31110521298361	5.38618038667475	84.799087159558	3.08883008803026e-22	5.98731102188566e-19	41.1391732155332
Tmem151a	4.25554459056529	5.90451824875793	83.1014607349915	4.23361028367884e-22	7.29451051877865e-19	40.9632272625539
Akap12	3.23219387387814	6.35080050036194	76.1930954845958	1.63754811088294e-21	2.11612154628847e-18	39.739770276228
Cavin2	-2.56437619335349	7.35376109192619	-74.2643545047388	2.44174205482657e-21	2.91262261878428e-18	39.3629261699689
Src	-2.45653384608238	7.76974861564077	-72.2872487783467	3.71767928208782e-21	3.52803800058734e-18	38.9392937312046
Lbh	2.49196377907606	6.74925190010807	71.3880455116561	4.51810318304312e-21	3.77697496170994e-18	38.7477757846101
Gata6	3.92215105019925	4.9032723714642	72.1038938918786	3.86771432320789e-21	3.52803800058734e-18	38.7238218103461
Cxcl12	5.87370592139157	4.92512051669828	73.7715259883646	2.70864907357706e-21	3.00021579885424e-18	38.638397501716
Krt19	5.28450537832533	5.80436461952433	72.2855459997592	4.8493550429511e-21	3.77697496170994e-18	38.5572273880181
Aqp5	-5.28649716517923	4.61037900635553	-72.8796211354548	3.2738178124471e-21	3.38447285450781e-18	38.4967947932881
Tnfaip2	-4.24379742041414	5.03814705905469	-70.8217345409173	5.11488193692582e-21	3.77697496170994e-18	38.4467839450487
Il1rl1	-8.25961713491611	4.76564238298788	-79.6353888804204	8.22471742414865e-22	1.27540693096273e-18	38.4247579330712
Myrf	8.90713283414185	5.20757856951548	78.756317640119	9.77811062410813e-22	1.37844692225495e-18	38.343202593312
Tmem98	3.73606079613528	5.65413945040848	67.8355300958194	1.00051724598921e-20	7.05228224252483e-18	37.9278587061534
Adcy7	-3.29906473117431	5.66881628578043	-67.4647038511621	1.08967191261862e-20	7.34675754303342e-18	37.850851671526
Nes	-2.12178470170335	8.55542526678679	-67.2326930844579	1.14972181132692e-20	7.41013334634578e-18	37.7873570710451
2900097C17Rik	-2.37233437573391	7.38058098675185	-66.2598144427978	1.44264840018475e-20	7.98969597916603e-18	37.5729701296534
Rprd1b	-2.41496041563332	7.00692664876012	-65.990902341856	1.53694789318171e-20	8.20958412549916e-18	37.5141223444662
Loxl4	-3.94911245730357	5.15415792659689	-65.8519234429151	1.58823449903253e-20	8.20958412549916e-18	37.4229960036503
Rbl1	-2.70540222967935	7.10581159218181	-65.5815782860308	1.69328686334028e-20	8.47025786768314e-18	37.4158789007175
Gpc1	-3.15345180282588	7.16259252425157	-65.3542397140883	1.78735072362152e-20	8.56780591170902e-18	37.3620957541159
Adgra2	-3.00864502483727	7.39509427805577	-65.1456825453497	1.87854131036375e-20	8.56780591170902e-18	37.3075247572048
Col18a1	-3.69667111285703	5.51632196173647	-65.1464340820785	1.87820395800817e-20	8.56780591170902e-18	37.302225582304
Cyp1b1	8.01438194013523	4.90884849121245	70.9034691577759	5.02380641627197e-21	3.77697496170994e-18	37.295388939531
Epb41l4a	5.12950501104835	4.23076254204984	67.0674094919833	1.19464328147704e-20	7.41013334634578e-18	37.2294765672077
Fam83d	-2.28456781600389	6.40560253358771	-63.8989540869609	2.53780919539672e-20	1.12439449122905e-17	37.0163361920211
Ppl	6.27478912531745	4.61465252244429	66.4472568787875	1.38056969275574e-20	7.92907193539381e-18	37.0004689430947
Fgfr1	-2.80885268388369	6.01038872507066	-63.0985088177246	3.08797843572667e-20	1.33014671118926e-17	36.8255130776253
Rasa3	-2.28577237062789	6.66372356476871	-62.927935910206	3.22086174974249e-20	1.3328261166065e-17	36.7706069494691
Ppp2r5b	2.31176363528383	6.53710593378951	62.8715712083484	3.26609869291591e-20	1.3328261166065e-17	36.7594845169507
Jag1	3.30024780984285	4.71364211024295	62.6404222132241	3.45880583939993e-20	1.37527441414294e-17	36.6418070300741
