genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.67984241049501	9.16245196788617	-140.910877777982	1.11859062448221e-25	1.16229566563727e-21	48.9176833386699
Spp1	-4.67290821541699	8.09448334596299	-138.292780759549	1.49905934821341e-25	1.16229566563727e-21	48.5635071860291
Igfbp4	5.83954882567988	6.62048066112186	113.781572922784	3.14928688297972e-24	1.62786638981222e-20	45.4059726502897
Epb41l1	-3.44150730238602	8.35172214031169	-96.3531062674367	4.21423085542599e-23	1.63375194687727e-19	43.3773515707973
Ezr	2.76111128478529	9.08640759603461	91.075619894375	1.01450644191586e-22	3.14639027895786e-19	42.531779813355
Angptl2	-3.65748923731606	5.78660597014996	-88.5311540454901	1.57816451233903e-22	3.49608529897733e-19	41.9036239013866
Ank	-6.38560777307188	5.28899570480141	-89.0184504117329	1.44870413894786e-22	3.49608529897733e-19	41.2165346754642
Ptx3	4.06161921639692	5.38618038667475	84.4308187555127	3.30569116785077e-22	6.40766911748273e-19	41.1464161245202
Tmem151a	4.15895545457582	5.90451824875793	83.1876398538258	4.16575314489969e-22	7.17759266866216e-19	40.9995834809382
Cavin2	-2.61498324360265	7.35376109192619	-75.8112362684244	1.77090721769331e-21	2.29069692997755e-18	39.6839167943053
Tnfaip2	-4.48601506759769	5.03814705905469	-74.9704941250609	2.10698857190194e-21	2.29687188423891e-18	39.2704341264169
Cxcl12	5.83496475089399	4.92512051669828	75.4180661696539	1.92036242275799e-21	2.29069692997755e-18	38.9960563559309
Gata6	4.07903277393175	4.9032723714642	73.5698846237012	2.8266534787365e-21	2.73955721842293e-18	38.9935730914045
Akap12	2.9643293149074	6.35080050036194	71.9464694341021	4.00167281147889e-21	3.36953389349094e-18	38.8653716240542
Src	-2.42727672019541	7.76974861564077	-71.4461481175011	4.46120573612092e-21	3.45899586750135e-18	38.7556556278401
Krt19	5.3848747543837	5.80436461952433	73.0413699012062	4.12853188729785e-21	3.36953389349094e-18	38.7014022082532
Il1rl1	-8.24244662539728	4.76564238298788	-79.4694609137093	8.49648689844444e-22	1.31755022334178e-18	38.4005466922969
Aqp5	-5.23457850895444	4.61037900635553	-72.1635366069571	3.81821531543497e-21	3.36953389349094e-18	38.3629907212925
Lbh	2.40793990642376	6.74925190010807	69.5588272387102	6.76938223358617e-21	4.99870525220098e-18	38.3429108826799
Tmem98	3.83694845408597	5.65413945040848	69.2458745853448	7.26188913797785e-21	5.11864158466466e-18	38.2381524740619
