genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Hmox1	0.651138205700385	6.5518831867992	16.7543466887748	2.11654208868191e-11	3.28212181691903e-07	16.0526160693134
Hspa5	0.561982259429437	10.6904829660897	15.1449285003695	9.40317987957701e-11	7.29075551963004e-07	14.9618487841936
Herpud1	0.577878573744856	6.94848387648103	13.5318316998771	4.85526938865448e-10	2.5096887469955e-06	13.2987390653243
2610203C20Rik	0.581101717089873	6.53424834533365	12.4463534140226	1.6145128448333e-09	5.7719530923129e-06	12.1618358317212
Mat2a	0.399702860732791	8.46743598685129	12.3229158243221	1.86107986467818e-09	5.7719530923129e-06	12.0705926243954
Nqo1	0.495328495699835	5.54516366228051	11.7848628936095	3.50664203064941e-09	8.17797829920813e-06	11.3997150224226
Syvn1	0.535667594965289	6.85768506959554	11.7420570865531	3.69161334200406e-09	8.17797829920813e-06	11.3716171629359
Ramp3	0.716681743470078	0.485984072633985	11.5249649184905	4.80241580057461e-09	9.30888272743881e-06	10.7240484162136
Xbp1	0.452612520597529	6.48886771064563	10.9559349353193	9.75626249159603e-09	1.650709020632e-05	10.4375997709369
Sdf2l1	0.587539603884039	5.57887462427317	10.8875111905851	1.0644928230038e-08	1.650709020632e-05	10.2980849141018
Tfrc	0.463606544879832	9.16994393872508	10.2899265121644	2.32210677543646e-08	3.27353725151756e-05	9.60398233743267
Sgk1	0.4194455701106	6.13380966072494	9.79143305312116	4.57176770961984e-08	5.64516729852824e-05	8.93971976640698
H19	-0.483841704918109	5.02634495908834	-9.76649503913035	4.73251917720172e-08	5.64516729852824e-05	8.90097377038507
Loxl2	-0.358090480216673	6.67714280081289	-9.1483369253109	1.13854152074591e-07	0.000115408541551358	8.04754796191703
Snhg17	0.382850211955678	6.54221287553397	9.11752320845265	1.19077620740422e-07	0.000115408541551358	7.99747414236086
Id2	0.478418651345016	6.59765604576944	9.0596030807115	1.48634476686714e-07	0.000135580872351816	7.79440540039543
Hmgcs1	-0.315604476837083	7.02588714629752	-8.88265366111835	1.68212171477998e-07	0.000144914785728295	7.65176699719795
Gclc	0.29706713745549	6.55997556267093	8.74136471842854	2.07699857319938e-07	0.00016089643902741	7.44956138191279
