genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	12843	-5.71973701588631	9.16241548259038	-142.024139597192	2.2549682791798e-25	2.51663652932252e-21	48.2502499378909
Spp1	20750	-4.5860982461582	8.0944468606672	-138.153212933313	3.44603112326787e-25	2.51663652932252e-21	47.7891365965989
Igfbp4	16010	5.72414314137606	6.62044417582607	111.1667884841	9.67224153885167e-24	4.70909199721558e-20	44.3860503966071
Ezr	22350	2.99844283419977	9.08637111073881	99.0676591691344	5.66345368129564e-23	2.0680101117251e-19	43.1079293386183
Epb41l1	13821	-3.47082497739269	8.35168565501589	-97.1900371618969	7.59482035172597e-23	2.21859892114619e-19	42.8063082216972
Angptl2	26360	-3.53683347259796	5.78656948485416	-88.5236916251007	3.17999533093158e-22	6.63528740051238e-19	41.2632805425107
Ank	11732	-6.46497337027412	5.28895921950561	-90.78924416838	2.1586225474471e-22	5.25480682133539e-19	40.8196703535762
Tmem151a	381199	4.21833346467826	5.90448176346213	81.3305658711322	1.16561509611374e-21	2.12812176172966e-18	39.9945511085559
Akap12	83397	3.38849325485666	6.35076401506614	80.6463994234185	1.32671271336245e-21	2.15310732126355e-18	39.949186976033
Lbh	77889	2.72859458088162	6.74921541481227	78.8229632621079	1.88351874218323e-21	2.5009704316662e-18	39.6302240139144
Ptx3	19288	3.95813699087807	5.38614390137895	77.2542348544776	2.56291892275955e-21	3.11949948215217e-18	39.1602072501076
Krt19	16669	5.45603629888162	5.80432813422853	74.1653294834872	4.78866578889037e-21	4.66288350083552e-18	38.5655450274227
Cxcl12	20315	6.15715495373272	4.92508403140248	76.5980980020905	2.92070056119734e-21	3.28151941514218e-18	38.5086267153031
Aqp5	11830	-5.18939689946649	4.61034252105974	-74.3816147217061	4.57975727716402e-21	4.66288350083552e-18	38.2485242142536
Tnfaip2	21928	-4.32879800270455	5.03811057375889	-71.9554489470232	7.61081539893083e-21	6.53903351275198e-18	38.0567765602711
Gata6	14465	3.90840248292136	4.90323588616841	71.521435442956	8.34969793060022e-21	6.77531599857482e-18	37.9885737312456
Cavin2	20324	-2.39367560664893	7.35372460663039	-70.6798352279574	1.00091317176289e-20	7.69438830882568e-18	37.9639338016944
Myrf	225908	9.00343601020853	5.20754208421969	78.9799239149767	1.82697280745897e-21	2.5009704316662e-18	37.7351323858847
Src	20779	-2.31368242830114	7.76971213034498	-68.7807263215793	1.51888178875996e-20	1.03943811277232e-17	37.5380588263785
Jag1	16449	3.63000943268572	4.71360562494715	68.8754026451821	1.48722653364257e-20	1.03943811277232e-17	37.4417831853018
2900097C17Rik	347740	-2.40888177290461	7.38054450145605	-68.1729510841715	1.7399706829604e-20	1.07150469124088e-17	37.4054781675474
Rbl1	19650	-2.78494660702915	7.10577510688601	-67.9907883940962	1.8127282375464e-20	1.07150469124088e-17	37.3686434539173
Rprd1b	70470	-2.43233709335924	7.00689016346432	-67.4976426128133	2.02644167487074e-20	1.07150469124088e-17	37.2558318352859
Tmem98	103743	3.74008238568952	5.65410296511269	67.2040593899162	2.16628673704899e-20	1.09106152004612e-17	37.1780190692476
