genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.72896747155574	9.16241548258956	-143.258113282198	6.26813547949594e-26	9.42258121914222e-22	49.4738442142953
Spp1	-4.59532677944571	8.09444686066638	-137.432183224132	1.20354850161479e-25	9.42258121914222e-22	48.8082411327134
Igfbp4	5.71489070431515	6.62044417582525	112.06025829183	2.9713256285717e-24	1.55083388973919e-20	45.5039383099196
Ezr	2.9892028670044	9.086371110738	98.4227946641038	2.28017505787288e-23	8.30177044746275e-20	43.9935755782412
Epb41l1	-3.48005638133354	8.35168565501508	-97.4828100999971	2.65096769940693e-23	8.30177044746275e-20	43.8296293693293
Angptl2	-3.54605652553533	5.78656948485335	-88.4308989606517	1.22409520576449e-22	2.73812610455149e-19	42.1851081861411
Ank	-6.47416333417786	5.2889592195048	-90.8676193044995	7.98948700277744e-23	2.08498979149149e-19	41.7587025231555
Tmem151a	4.20906576652354	5.90448176346132	81.9456133729096	4.04498431909218e-22	7.91704555854317e-19	41.0135935787302
Akap12	3.37926129084057	6.35076401506533	79.8451084016201	6.07932846140262e-22	9.88928948287591e-19	40.7064632785543
Lbh	2.71933774048377	6.74921541481146	77.8656990465287	9.0133508276861e-22	1.21337603603811e-18	40.3446723770041
Ptx3	3.94881759403305	5.38614390137814	77.4172506850702	9.86814120620667e-22	1.21337603603811e-18	40.0777010154323
Cxcl12	6.14791717849945	4.92508403140167	77.3154154924982	1.00740123058471e-21	1.21337603603811e-18	39.5067088412299
Krt19	5.44667665098186	5.80432813422772	74.6690480538671	2.27251828632616e-21	2.26729062822054e-18	39.2786229801855
Aqp5	-5.19837512840902	4.61034252105893	-75.0504423558448	1.60598812481649e-21	1.79618300416976e-18	39.2365995048848
Tnfaip2	-4.33802029302217	5.03811057375808	-72.0833432283184	3.02321598620379e-21	2.78455975952818e-18	38.9434471879009
Gata6	3.89912581833818	4.90323588616759	71.5181815858489	3.42035406219262e-21	2.97532799476734e-18	38.8471881779003
Myrf	8.99413042910547	5.20754208421887	79.6511287819497	6.3158062861642e-22	9.88928948287591e-19	38.7141996314316
Cavin2	-2.402911323722	7.35372460662958	-70.1452322413625	4.6351180173332e-21	3.81982515344228e-18	38.7114991013246
Src	-2.32292854564624	7.76971213034416	-68.4330205464463	6.82828008772228e-21	4.64857433102415e-18	38.3160512304551
Jag1	3.6207013794974	4.71360562494634	68.8807393911117	6.16475299969544e-21	4.59655726043958e-18	38.2896789065101
Rbl1	-2.79421896135796	7.1057751068852	-67.9560781591555	7.61944595022807e-21	4.80238033641916e-18	38.2140494925292
2900097C17Rik	-2.41812940869599	7.38054450145524	-67.6336805985286	8.20910953275407e-21	4.80238033641916e-18	38.1345829088
