genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Herpud1	1.08069059622608	6.94844739118442	25.7872811334414	2.72341392633122e-14	2.73595824716232e-10	21.9069407543513
Hmox1	0.930258288044079	6.55184670150259	25.3724980528654	3.49464586430236e-14	2.73595824716232e-10	21.673496713306
Ddit3	0.972882620180092	4.81551930867258	19.6538339295649	1.72490423246145e-12	9.00285015729381e-09	18.0518820828284
Hspa5	0.666832117950459	10.6904464807931	18.1052380676295	5.95457202768655e-12	2.3309172202379e-08	17.6154706728906
Fmnl1	-0.707736342466518	6.01329187159847	-16.8879378968813	1.69132514758283e-11	5.29655383217038e-08	16.3576367748887
Pdgfb	-0.767298093559845	4.81535135746245	-14.8187384390175	1.17745708556608e-10	3.07277050763228e-07	14.4529924568367
Xbp1	0.571087646264493	6.48883122534902	14.0669174996611	2.52915380588465e-10	4.8836220465895e-07	13.955095934499
Syvn1	0.609920973648356	6.85764858429893	13.9670080401665	2.80703783492818e-10	4.8836220465895e-07	13.8819236784664
Dnajb9	0.808194368441298	4.05055968079323	14.0393303525751	2.60284533681539e-10	4.8836220465895e-07	13.6106733149832
Itga3	-0.473275417919856	8.56967202263155	-13.587304063392	4.1964497425345e-10	5.31650711249117e-07	13.5297459377452
Trib3	0.647996961649568	6.17380873917724	13.5876791318894	4.19476346525837e-10	5.31650711249117e-07	13.4504090978926
Edn2	0.673741766896643	2.30502702381831	13.6607569303743	3.87950803946889e-10	5.31650711249117e-07	13.2398691389188
Pde4b	0.610934068307373	4.66190792551652	13.5402055083488	4.41401152525132e-10	5.31650711249117e-07	13.2006104740507
Nqo1	0.637975508082643	5.5451271769839	13.0473338905677	7.55998812647314e-10	8.45530672030832e-07	12.7531468456335
Klhl30	-0.861872782986966	3.78898357548158	-12.9408108646785	8.51146318041447e-10	8.88483269859531e-07	11.906022191914
Spon2	0.670889646713499	5.54603262218189	11.8591838131132	2.97673960799617e-09	2.91311179887525e-06	11.4183980369712
Manf	0.542625715365477	7.26060049497299	11.6825990854818	3.68413258356336e-09	3.20478599963528e-06	11.4078773918011
Slc43a3	0.411515850053549	6.48460071470845	11.4662786008322	4.80081375935069e-09	3.95637588652174e-06	11.137858240218
Per2	0.627654134252891	3.50272971973831	11.7320315807063	3.46977511465933e-09	3.19586698501975e-06	11.1136196454256
Srxn1	0.471032853114377	6.23964944212785	11.2790243644664	6.05695502530045e-09	4.46935432712309e-06	10.9040520370681
Vegfa	0.48106598129653	6.51551671755567	11.2501615581294	6.27958840188452e-09	4.46935432712309e-06	10.8823232842832
Tubb3	0.630018185003262	4.75872863705716	11.2718246721075	6.11169791104101e-09	4.46935432712309e-06	10.8353067516885
Cry1	0.500433787053066	5.06887234082757	10.6595055979307	1.33632437791993e-08	8.71840296227926e-06	10.1006551808043
Selenos	0.404673699911478	5.42946819315956	10.6246723211241	1.39859511078691e-08	8.75968089788061e-06	10.0844812199706
Dusp1	0.556254898370915	5.26293873381091	10.5701485729666	1.50229049130857e-08	9.04725558188833e-06	9.99593739068352
Fbln2	-0.381024991338061	9.67679245214282	-10.5185462649751	1.60792260326211e-08	9.32476004514007e-06	9.9513634333925
Slc2a1	0.544939987095408	7.29680135295995	10.6860674201902	1.69328590048589e-08	9.46909665350286e-06	9.9305636262078
Ficd	0.63974548802844	2.85883623115137	10.777861808308	1.14570894787072e-08	7.79978726337377e-06	9.72545313380577
