genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.86212754198128	9.16241548258956	-145.442099898267	4.94177110967244e-26	6.79335546831548e-22	49.6736017630199
Spp1	-4.74716708219374	8.09444686066638	-140.323656591301	8.6771688188983e-26	6.79335546831548e-22	49.0778244540477
Igfbp4	5.73104387018123	6.62044417582525	112.348972843934	2.85363323770744e-24	1.48940630786743e-20	45.5441075774845
Epb41l1	-3.49797070176792	8.35168565501508	-97.7036407826202	2.558439416812e-23	1.00150110971106e-19	43.8639624682299
Ezr	2.80409013158994	9.086371110738	92.0902420271337	6.47744465120443e-23	2.02847656697118e-19	42.9713536457708
Angptl2	-3.70618709158179	5.78656948485335	-89.4086845883182	1.03004751186972e-22	2.34187147872416e-19	42.3140666424984
Ank	-6.40785704782128	5.2889592195048	-89.3160341603203	1.04694726983453e-22	2.34187147872416e-19	41.5281204075448
Ptx3	4.31029617285663	5.38614390137814	84.6498386540036	2.43028532206522e-22	4.75667594661216e-19	41.3758665390144
Tmem151a	4.25474486318214	5.90448176346132	82.8221029486178	3.42307229161787e-22	5.95538510468363e-19	41.1731626449465
Akap12	3.23139257695205	6.35076401506533	76.198334348049	1.26574480253508e-21	1.65158600984119e-18	39.9911633448908
Cavin2	-2.56517244015212	7.35372460662958	-74.2159313770378	1.9138290661185e-21	2.3051335013295e-18	39.6001729209822
Src	-2.45733058036478	7.76971213034416	-71.9558962544198	3.10827981106465e-21	2.89534699253157e-18	39.111410401433
Gata6	3.92135257665073	4.90323588616759	71.9042118350441	3.14349845912867e-21	2.89534699253157e-18	38.9285462011441
Lbh	2.49117274393222	6.74921541481146	71.0991687814651	3.75045754982664e-21	3.0008650041215e-18	38.9277000510853
Cxcl12	5.87292024864162	4.92508403140167	73.8242535701095	2.07942581257565e-21	2.32568924095068e-18	38.8970330882269
Krt19	5.28369237839269	5.80432813422772	72.3761271311079	3.69377361619351e-21	3.0008650041215e-18	38.8226509064018
Aqp5	-5.28730078068205	4.61034252105893	-72.7923223185465	2.59307441997366e-21	2.70682395119651e-18	38.7280551880351
Il1rl1	-8.26042954813315	4.76560589769127	-79.6901919911068	6.26740988579028e-22	9.81351039917042e-19	38.6939629920954
Tnfaip2	-4.24459549916638	5.03811057375808	-70.6581420579758	4.13479200370128e-21	3.08297967590261e-18	38.6563284316183
Myrf	8.90632109943076	5.20754208421887	78.875697953411	7.36348880888618e-22	1.04815916154127e-18	38.6204461399429
Tmem98	3.73524993415831	5.65410296511187	67.6952707127169	8.09281884719461e-21	5.75987988678969e-18	38.134617620249
Adcy7	-3.29984212064696	5.66877980048382	-67.502111388635	8.46352500026143e-21	5.76182062843884e-18	38.0972427645882
Nes	-2.12258203165071	8.55538878149018	-66.9549815409842	9.61501118715874e-21	6.02207380674126e-18	37.9583740036272
2900097C17Rik	-2.37312820344959	7.38054450145524	-66.2930933742805	1.12349762144612e-20	6.28275919878691e-18	37.8166446500192
Rprd1b	-2.41575847287083	7.00689016346351	-65.9737405839338	1.21182335815753e-20	6.31838836729184e-18	37.7453125190974
Rbl1	-2.70620111887943	7.1057751068852	-65.8401826936809	1.25092629573411e-20	6.31838836729184e-18	37.7129198395929
Loxl4	-3.94992536727373	5.15412144130029	-65.8775286464803	1.23985883896359e-20	6.31838836729184e-18	37.6645812825771
Gpc1	-3.15423288006242	7.16255603895496	-65.3052855543368	1.42151017102663e-20	6.86606740045986e-18	37.5844883816829
Cyp1b1	8.0136550424797	4.90881200591584	71.0005048018311	3.83301188417614e-21	3.0008650041215e-18	37.5598640187612
Adgra2	-3.00943580607083	7.39505779275916	-65.1681063966213	1.4691322215387e-20	6.86606740045986e-18	37.5469215832071
Col18a1	-3.69745059645651	5.51628547643986	-65.1069484971162	1.49090746976392e-20	6.86606740045986e-18	37.5272020558073
Epb41l4a	5.12871681184616	4.23072605675323	67.0123399730637	9.48682789303906e-21	6.02207380674126e-18	37.4572516263196
Ppl	6.27400702698774	4.61461603714768	66.6162414740153	1.04105597710459e-20	6.03814444022054e-18	37.2729245341214
Fam83d	-2.28536693744249	6.4055660482911	-63.7014440676544	2.09876814830143e-20	9.38928904745821e-18	37.1994132859781
Fgfr1	-2.80964794631973	6.01035223977405	-62.9024897244449	2.55766481637814e-20	1.11244210263469e-17	37.0073641562216
Ppp2r5b	2.31096830404908	6.5370694484929	62.6609203100793	2.71658347513186e-20	1.11602448924243e-17	36.9366115482649
Rasa3	-2.28657231172577	6.6636870794721	-62.6518255714453	2.72276793560055e-20	1.11602448924243e-17	36.93121618749
Jag1	3.29943997933314	4.71360562494634	62.5690822357031	2.77972634311244e-20	1.11602448924243e-17	36.8552453431025
Gm8730	-6.75009774680696	4.30036866280409	-66.6156846853524	1.04119236100367e-20	6.03814444022054e-18	36.778727812432
Ccnd2	4.36050858233685	6.52866336518534	69.664919983976	3.36506913465196e-20	1.28512811000928e-17	36.7756906750697
Myo1d	2.77944673267101	6.00698380229677	61.069964976034	4.06426237372976e-20	1.44632318745138e-17	36.5422879936956
Acta2	2.92155167088652	7.87567166116261	61.1943091630445	3.9368195358032e-20	1.44632318745138e-17	36.5348316579772
Ahcy	-2.2786759850069	7.09877378287034	-61.1094816185436	4.02329195525866e-20	1.44632318745138e-17	36.525216979776
Gm9625	-5.89139542287271	4.55321295382234	-62.1011575114348	3.12660362353554e-20	1.22390898843299e-17	36.3538200128091
Prrx1	-2.75331795554641	6.67378711036353	-59.6219710176999	5.9182737948333e-20	2.01452893651087e-17	36.146149710691
S100a4	-2.77807974452005	7.28959914283721	-59.477809029736	6.14694321860097e-20	2.04784759397562e-17	36.0908542300252
Man2a2	-2.39680556658412	6.49891345513585	-58.9712307475494	7.02795413156536e-20	2.26497946187244e-17	35.974221864824
Ndrg3	-2.04091349084991	6.75004893494589	-58.9391960481904	7.08800572434217e-20	2.26497946187244e-17	35.9544799405132
Rpn2	-1.97027640885862	9.36359541717121	-58.74775341685	7.45844333704814e-20	2.33568611543e-17	35.8459221946221
Oaf	-4.46672881059397	4.98187163281176	-58.5497507280298	7.86331670614165e-20	2.39248308901054e-17	35.8269223490972
Tspan9	-1.91297034077103	8.38375680457891	-58.1056623771607	8.85884462813065e-20	2.61720356957113e-17	35.6873564921162
Pear1	-3.73799077198998	5.92487883832415	-58.805925766633	1.00316458166574e-19	2.75571070521442e-17	35.6508958725149
Loxl1	-2.55939702960069	6.75703860735367	-57.7854351890663	9.65945831092368e-20	2.7499599678626e-17	35.6437166988747
Nr2f2	-1.99506169336912	6.59207125220698	-57.5045404754685	1.04251778631192e-19	2.81443853415036e-17	35.5652392894177
Pkp1	-2.40908260204628	5.9550140953716	-57.3300198341996	1.0933231553485e-19	2.83018818563371e-17	35.5410351259191
Tti1	-2.08725094456272	5.94397173847085	-57.2991625239162	1.10257682541612e-19	2.83018818563371e-17	35.5292009049292
H19	-3.64746648634852	5.02630847379173	-56.8846057299029	1.2353048698902e-19	3.07022280202234e-17	35.4287470358652
Sox9	-4.61063927988084	4.03196779816125	-57.8939769953268	9.37979455422863e-20	2.719793020928e-17	35.4207255510456
Afap1l2	5.08613101873068	3.69654650921194	58.5109296460846	7.94540302902977e-20	2.39248308901054e-17	35.2834572741272
E2f1	-2.3849990582445	6.43126801046563	-56.4213634972589	1.40397830195587e-19	3.4349206643789e-17	35.2698488562019
Cx3cl1	-2.8140498972907	4.83229224397768	-56.2016486998583	1.49239268786371e-19	3.59505918562615e-17	35.2378827503294
Bcl2l1	-2.46333793012075	6.70611955528241	-56.1316174665929	1.52180313801772e-19	3.61036265683053e-17	35.1799448918903
Mecom	-3.02764998802046	4.47448559036215	-55.975271775812	1.58970923813465e-19	3.68537997454453e-17	35.1546502085571
Arhgef40	-2.31482372228783	6.10127248637102	-55.9510890366227	1.60049711501487e-19	3.68537997454453e-17	35.1492044435282
Mpp2	3.62931326415919	5.12991743443726	55.3074510061236	1.91820843402323e-19	4.27209185544368e-17	34.9936117136753
Irgm1	2.68781734563267	4.70865901065414	55.2233623315455	1.96443104861378e-19	4.27209185544368e-17	34.9686296008932
Shroom3	4.2902245723002	3.8975227778902	55.8820277918866	1.63173599899506e-19	3.70285830032822e-17	34.9054935570263
Samhd1	-1.66918491236246	8.54111683790348	-55.2346737737355	1.95814492919385e-19	4.27209185544368e-17	34.8662462594751
Uchl1	3.77620711661833	4.76101996027314	54.8384875488122	2.19163143617776e-19	4.59766383205217e-17	34.8421552793831
Adamts1	3.06592382217728	6.47809668370099	55.1948482932115	2.20222753483148e-19	4.59766383205217e-17	34.8235331562198
Dcn	5.7030795371064	3.66694570041813	57.4092046499931	1.06995255167175e-19	2.83018818563371e-17	34.777722436886
