genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.67965470838433	9.16241548258956	-140.792393577496	8.23417799921062e-26	8.72803166295909e-22	49.2205470363617
Spp1	-4.67273137479368	8.09444686066638	-138.103523200003	1.11483352445511e-25	8.72803166295909e-22	48.8572922063379
Igfbp4	5.83971213018561	6.62044417582525	113.633434716663	2.38699887057623e-24	1.24585427718275e-20	45.6810643400468
Epb41l1	-3.44133226493928	8.35168565501508	-96.1222464502171	3.30553459461822e-23	1.2939515170633e-19	43.6152605248436
Ezr	2.76128496875011	9.086371110738	90.8585303008842	8.00204172027955e-23	2.50591938512274e-19	42.7634164360149
Angptl2	-3.6573226047705	5.78656948485335	-88.2336957572424	1.2677481820936e-22	2.83577157646023e-19	42.1205438575318
Ank	-6.38545733123723	5.2889592195048	-89.0071163359987	1.10545874400932e-22	2.83577157646023e-19	41.482679650111
Ptx3	4.06180040802709	5.38614390137814	84.2944041055409	2.59617417351272e-22	5.08136190110777e-19	41.3839735449432
Tmem151a	4.15915412702561	5.90448176346132	82.9298322090833	3.35395918294197e-22	5.83514365405615e-19	41.213127179207
Cavin2	-2.61480955256267	7.35372460662958	-75.7345428978862	1.39294603909938e-21	1.76932024516016e-18	39.9176807867979
Tnfaip2	-4.48583814641125	5.03811057375808	-74.7810909264759	1.6991509466746e-21	1.77368703486873e-18	39.4830896440591
Cxcl12	5.83511452395926	4.92508403140167	75.4783760000705	1.46897197516171e-21	1.76932024516016e-18	39.2575892559714
Gata6	4.07921587786592	4.90323588616759	73.3848290385558	2.28351672303827e-21	2.23470655308333e-18	39.204381219243
Akap12	2.96448659448647	6.35076401506533	71.9703411328687	3.09851202107459e-21	2.57412772482968e-18	39.1148400413795
Krt19	5.38502349251861	5.80432813422772	73.1596015917879	3.12354239186128e-21	2.57412772482968e-18	38.973242854659
Src	-2.42710188474303	7.76971213034416	-71.0910284844356	3.75719661779205e-21	2.9415092320694e-18	38.9203573990746
