genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Hmox1	0.650163216041851	6.55184670150259	16.6435330872424	2.10284047202963e-11	3.292627611104e-07	16.0461935432474
Hspa5	0.561011238414466	10.6904464807931	15.0896582931612	9.01343289920253e-11	7.05661661678566e-07	14.9948569302566
Herpud1	0.576910724592254	6.94844739118442	13.4731782456616	4.74444607430679e-10	2.47628455438319e-06	13.3114645526704
2610203C20Rik	0.58013924779816	6.53421186003704	12.4168035575875	1.5436066684756e-09	5.41193499363307e-06	12.1963581552898
Mat2a	0.3987316658892	8.46739950155468	12.3194022956365	1.72816930439171e-09	5.41193499363307e-06	12.1357576757912
Nqo1	0.494352066219014	5.5451271769839	11.7447932632476	3.41660436710707e-09	8.17637752074924e-06	11.4164891100962
Syvn1	0.534697901963231	6.85764858429893	11.6890691840536	3.65529714173232e-09	8.17637752074924e-06	11.3738700731175
Ramp3	0.715677787320503	0.485947587337376	11.5058097620225	4.57271269604614e-09	8.9499419243363e-06	10.7526501287925
Xbp1	0.451635164233245	6.48883122534902	10.9260140109024	9.46692932336152e-09	1.6199899295931e-05	10.4602132801289
Sdf2l1	0.586555896802006	5.57883813897656	10.8568653622331	1.03460846186812e-08	1.6199899295931e-05	10.3169565008711
Tfrc	0.462636125815663	9.16990745342847	10.2986571369007	2.15413982866383e-08	3.06632013065621e-05	9.67421301218399
Sgk1	0.418484661385037	6.13377317542833	9.78434875057691	4.3503573361452e-08	5.23983808995089e-05	8.98321320072479
H19	-0.484810402785348	5.02630847379173	-9.78746027972784	4.33154388162919e-08	5.23983808995089e-05	8.98126100844336
Loxl2	-0.359067735485366	6.67710631551628	-9.18573493875556	1.02097755951831e-07	0.000106576444179584	8.15029746677272
Snhg17	0.381873176184381	6.54217639023736	9.10383080238107	1.1509021311508e-07	0.000112630159809746	8.02790537688141
Id2	0.477453099516917	6.59761956047283	9.04163557183526	1.43716836940456e-07	0.000130687643295865	7.82354742556904
Hmgcs1	-0.31657437225073	7.02585066100091	-8.92345593600648	1.50234869033438e-07	0.000130687643295865	7.76118243628132
