genes	logFC	AveExpr	t	P.Value	adj.P.Val
Col1a2	-5.72896747155574	9.16241548258956	-117.333909241986	8.54726106096364e-22	1.23506048815599e-17
Spp1	-4.59532677944571	8.09444686066638	-112.007224330854	1.57754564843018e-21	1.23506048815599e-17
Igfbp4	5.71489070431515	6.62044417582525	92.6781997796201	1.98019814037985e-20	1.03353141606892e-16
Ank	-6.47416333417786	5.2889592195048	-77.8019891703865	2.04853267077927e-19	8.01898113976545e-16
Epb41l1	-3.48005638133354	8.35168565501508	-70.6558537961799	7.27210099864257e-19	2.00939332371618e-15
Myrf	8.99413042910547	5.20754208421887	70.6154170856502	7.69980836779734e-19	2.00939332371618e-15
Ezr	2.9892028670044	9.086371110738	68.7356164172108	1.04892128426691e-18	2.34628706700733e-15
Angptl2	-3.54605652553533	5.78656948485335	-67.007848504329	1.47221668662828e-18	2.8814961099032e-15
Il1rl1	-8.84714386005114	4.76560589769127	-66.051078351612	1.86861966541528e-18	3.25098296900804e-15
Cxcl12	6.14791717849945	4.92508403140167	64.9241828817677	2.26840006900109e-18	3.5518608280419e-15
Tmem151a	4.20906576652354	5.90448176346132	62.8176661475022	3.478808396937e-18	4.95192562538542e-15
Aqp5	-5.19837512840902	4.61034252105893	-61.8075082747183	4.33292105959027e-18	5.65373982925537e-15
Ptx3	3.94881759403305	5.38614390137814	59.5428429096546	7.08450846836365e-18	7.73496309228235e-15
Gm8730	-6.68461055355995	4.30036866280409	-59.5964222689661	7.11995178484176e-18	7.73496309228235e-15
Krt19	5.44667665098186	5.80432813422772	59.2535684526781	7.60452275028193e-18	7.73496309228235e-15
Cyp1b1	7.73549341708449	4.90881200591584	59.1878934922441	7.90390915037154e-18	7.73496309228235e-15
Akap12	3.37926129084057	6.35076401506533	57.3124816397781	1.17585386083288e-17	1.08303057370125e-14
Ppl	6.35110749461493	4.61461603714768	56.3981760395351	1.47686772889383e-17	1.28471082772331e-14
Tnfaip2	-4.33802029302217	5.03811057375808	-56.0976302897498	1.56566368569922e-17	1.29027168371992e-14
Gata6	3.89912581833818	4.90323588616759	54.7812463143351	2.144188034605e-17	1.60747879639111e-14
Smpd3	10.1347530560274	4.64172146659423	55.0420571479033	2.15589824525567e-17	1.60747879639111e-14
Epb41l4a	5.05394806149933	4.23072605675323	54.2391288431427	2.45653173681877e-17	1.74838063341401e-14
Ccnd2	4.40553636346408	6.52866336518534	53.1895849530793	3.17590967859146e-17	2.16210407597326e-14
Gm9625	-5.76366050010722	4.55321295382234	-52.7832544214258	3.54204301743049e-17	2.31088789862194e-14
Jag1	3.6207013794974	4.71360562494634	51.9236482863332	4.365990597807e-17	2.73450723121848e-14
Lbh	2.71933774048377	6.74921541481146	51.6981939501264	4.62337791940979e-17	2.78434044085071e-14
Rps3a3	-8.51953170044517	3.63563117332998	-51.4007911084809	5.20857660819273e-17	2.92520918591277e-14
Hspb8	-5.83983397463809	3.53611439455853	-51.258202112622	5.23092714302961e-17	2.92520918591277e-14
Loxl4	-4.03167784105766	5.15412144130029	-50.5560217126518	6.22678020772788e-17	3.36203187905528e-14
Aqp1	-8.31963535192575	4.00010919096234	-50.5010864597775	6.56452901588518e-17	3.42624651102434e-14
Tmem98	3.73081441192603	5.65410296511187	49.1552709663641	9.03644459193768e-17	4.56427901356646e-14
Dcn	5.71067182169573	3.66694570041813	48.6060075156316	1.05775788802018e-16	5.17574156581872e-14
Afap1l2	5.05620172969304	3.69654650921194	48.1604745598475	1.19022781667429e-16	5.64745065257153e-14
Shroom3	4.53752045606677	3.8975227778902	47.2440109974143	1.53229058631429e-16	7.05664882367918e-14
Sox9	-4.6214412645139	4.03196779816125	-47.0043266311965	1.63973660870777e-16	7.33571309118463e-14
Upk3b	11.8026571811842	3.96547135522387	46.962525676437	1.82792197514533e-16	7.95044507967375e-14
Gpc1	-3.25345021553894	7.16255603895496	-45.6184577904297	2.43206306322243e-16	1.02922279578208e-13
Fgfr1	-3.04301053449661	6.01035223977405	-45.5076972268984	2.51147813209195e-16	1.03486117348147e-13
Col18a1	-3.48285383936939	5.51628547643986	-45.3718675422866	2.61373074719627e-16	1.04937938563075e-13
Rnf128	7.61996949720207	3.83840349528211	45.1150387274419	2.90161006129958e-16	1.12879800308032e-13
