genes	logFC	AveExpr	t	P.Value	adj.P.Val
Col1a2	-5.86212754198128	9.16241548258956	-119.694877061142	6.56102094900288e-22	8.32120346417105e-18
Spp1	-4.74716708219374	8.09444686066638	-115.3812006094	1.06286926352932e-21	8.32120346417105e-18
Igfbp4	5.73104387018123	6.62044417582525	92.9725232696369	1.89854138390004e-20	9.90912032970227e-17
Ank	-6.40785704782128	5.2889592195048	-76.3289469481268	2.64030738216693e-19	1.03354832474925e-15
Epb41l1	-3.49797070176792	8.35168565501508	-70.9621483057156	6.86548139214572e-19	1.79926491240018e-15
Il1rl1	-8.26042954813315	4.76560589769127	-71.1427326201454	6.89461583497324e-19	1.79926491240018e-15
Myrf	8.90632109943076	5.20754208421887	69.8417093733607	8.9028027718365e-19	1.99044894358082e-15
Angptl2	-3.70618709158179	5.78656948485335	-68.898446736441	1.01696203529484e-18	1.99044894358082e-15
Ptx3	4.31029617285663	5.38614390137814	66.9571346087986	1.4892081720606e-18	2.59089128423611e-15
Tmem151a	4.25474486318214	5.90448176346132	63.7019698173383	2.88903379888153e-18	4.5236491222887e-15
Ezr	2.80409013158994	9.086371110738	62.1787989911336	3.97917630627129e-18	5.66417660032689e-15
Cyp1b1	8.0136550424797	4.90881200591584	61.6315326053138	4.63419424174544e-18	5.68977819231322e-15
Cxcl12	5.87292024864162	4.92508403140167	61.4286710980441	4.72391854004802e-18	5.68977819231322e-15
Aqp5	-5.28730078068205	4.61034252105893	-60.1879935778879	6.17033641021888e-18	6.9010805365148e-15
Gm8730	-6.75009774680696	4.30036866280409	-57.4167891753152	1.16909399382028e-17	1.2203782503492e-14
Krt19	5.28369237839269	5.80432813422772	57.0356020636924	1.26130194089505e-17	1.23434161190842e-14
Ppl	6.27400702698774	4.61461603714768	55.579820896104	1.79208563210263e-17	1.6030166035803e-14
Epb41l4a	5.12871681184616	4.23072605675323	55.2403979087904	1.92738946096647e-17	1.6030166035803e-14
Gata6	3.92135257665073	4.90323588616759	55.1846183715854	1.94516001200828e-17	1.6030166035803e-14
Tnfaip2	-4.24459549916638	5.03811057375808	-54.625907796506	2.22828273949176e-17	1.7445225567481e-14
Akap12	3.23139257695205	6.35076401506533	53.6429030084209	2.83189239927432e-17	2.03163095398129e-14
Smpd3	9.94026202896004	4.64172146659423	53.8774375308404	2.85450766302136e-17	2.03163095398129e-14
Ccnd2	4.36050858233685	6.52866336518534	52.44648151336	3.82780431244889e-17	2.60590260540542e-14
Gm9625	-5.89139542287271	4.55321295382234	-50.9745735419526	5.63315485211667e-17	3.67516411143512e-14
Aqp1	-8.17818188674363	4.00010919096234	-50.1643490680213	7.15899565842943e-17	4.48382216078752e-14
Hspb8	-5.89778575501931	3.53611439455853	-49.6069200348388	8.08265269490682e-17	4.86762214987889e-14
Tmem98	3.73524993415831	5.65410296511187	49.2104719948097	8.90290616560157e-17	5.03042331643585e-14
Loxl4	-3.94992536727373	5.15412144130029	-49.1734023297383	8.9955200447186e-17	5.03042331643585e-14
Afap1l2	5.08613101873068	3.69654650921194	48.5137046936482	1.0804134271137e-16	5.64138684778869e-14
Dcn	5.7030795371064	3.66694570041813	48.5267061029888	1.08086349108226e-16	5.64138684778869e-14
Rps3a3	-8.77410102714107	3.63563117332998	-48.081671170995	1.26835804313798e-16	6.40643556111435e-14
Adcy7	-3.29984212064696	5.66877980048382	-47.5565315062065	1.4006807773043e-16	6.8537061284471e-14
Col18a1	-3.69745059645651	5.51628547643986	-47.1501845518304	1.57015101452342e-16	7.45012866224475e-14
Cavin2	-2.56517244015212	7.35372460662958	-47.034450294248	1.62119000973243e-16	7.46605681540895e-14
Upk3b	11.6811402934533	3.96547135522387	46.4388663963013	2.11638014540765e-16	9.4680800905123e-14
Sox9	-4.61063927988084	4.03196779816125	-45.9889451281507	2.19049408253492e-16	9.52743231786995e-14
Jag1	3.29943997933314	4.71360562494634	45.4134190158678	2.58182742603803e-16	1.09260145505145e-13
B4galt4	6.07269579392633	3.04284496259012	44.9930894415484	2.95522367302752e-16	1.20767056027589e-13
Rnf128	7.60159632782686	3.83840349528211	44.9918342094179	3.00799283757567e-16	1.20767056027589e-13
Lbh	2.49117274393222	6.74921541481146	44.6909694071287	3.19268610084029e-16	1.24977697417393e-13
Oaf	-4.46672881059397	4.98187163281176	-44.4734068838412	3.41402711989395e-16	1.30382528398291e-13
Src	-2.45733058036478	7.76971213034416	-44.1368793884299	3.76680259993267e-16	1.40429988356537e-13
Shroom3	4.2902245723002	3.8975227778902	43.8969168172733	4.05637050269683e-16	1.47708486816807e-13
Gpc1	-3.15423288006242	7.16255603895496	-43.6521200842752	4.36117907512737e-16	1.55198504450783e-13
Cdh3	8.44707720234773	3.95307939598073	43.6965693461595	4.48518260787173e-16	1.56064420609013e-13
Apbb1ip	-6.03580566786107	2.89304262436948	-43.4736868994292	4.65801972861583e-16	1.58554941110145e-13
Slco3a1	-3.90658339712995	3.6959345370359	-43.0394557788957	5.26367046574681e-16	1.75358621601412e-13
Adgra2	-3.00943580607083	7.39505779275916	-42.7289727716133	5.78866426075711e-16	1.88831052072781e-13
Sema7a	-6.43893887001767	3.4321066201016	-42.0977356828631	7.16004798738666e-16	2.28800064054082e-13
Pear1	-3.73799077198998	5.92487883832415	-41.8663820744315	7.5884979957443e-16	2.37641403234729e-13
Rbl1	-2.70620111887943	7.1057751068852	-41.6292900773692	8.17593692021609e-16	2.51017294699497e-13
Timp3	3.59351815282161	7.63127558635523	41.5419593683286	8.4104710621087e-16	2.52387785790669e-13
Daam2	8.04226242792561	2.92930127221235	41.603280359783	8.54295098154648e-16	2.52387785790669e-13
Fgfr1	-2.80964794631973	6.01035223977405	-40.9002250040528	1.03312648273085e-15	2.95366317063727e-13
Nr2f1	-5.29084696478866	3.05768867831825	-40.9062341511502	1.0374982397819e-15	2.95366317063727e-13
Pawr	3.70272510593815	4.05867656977129	40.7221586607044	1.09520927314171e-15	3.06228335693801e-13
H19	-3.64746648634852	5.02630847379173	-40.665696842003	1.1154339573504e-15	3.06411664985836e-13
Slc38a4	-6.05112573427605	2.94713317805763	-40.5473244223911	1.17253747403018e-15	3.16544685661457e-13
Tspan7	5.00491565075409	3.03255916085062	40.1756584677239	1.31493449846402e-15	3.48970243677112e-13
Uchl1	3.77620711661833	4.76101996027314	39.8604122266499	1.45379164215443e-15	3.79342755543724e-13
Vldlr	5.63696872045608	3.59342084843944	39.8224119354459	1.48380935258377e-15	3.79342755543724e-13
Rprd1b	-2.41575847287083	7.00689016346351	-39.7599493112587	1.50205970390286e-15	3.79342755543724e-13
2900097C17Rik	-2.37312820344959	7.38054450145524	-39.4080344824696	1.68959075152668e-15	4.10145336160303e-13
Myo1d	2.77944673267101	6.00698380229677	39.3673601276374	1.71290311194269e-15	4.10145336160303e-13
Gm2115	-3.36628121808945	4.34986545255986	-39.3482611856664	1.72436556469338e-15	4.10145336160303e-13
Sv2a	4.74654009666984	3.25203235943961	39.3331075749063	1.73861173005587e-15	4.10145336160303e-13
Mpp2	3.62931326415919	5.12991743443726	39.2679561657559	1.77206596779927e-15	4.10145336160303e-13
Lrrk2	-4.18007265202068	4.33942646365715	-39.2212245869396	1.80199609106199e-15	4.10145336160303e-13
Acta2	2.92155167088652	7.87567166116261	39.2080364359691	1.8073846081914e-15	4.10145336160303e-13
Hmga1-rs1	-5.05539670685698	4.02683258632171	-39.1397998671604	1.85845065783602e-15	4.15708862862805e-13
Mecom	-3.02764998802046	4.47448559036215	-39.0080101822282	1.93399280028348e-15	4.26513510800545e-13
Maf	3.4285646343388	4.51393320969241	38.1794099927293	2.56981881711481e-15	5.58864208866441e-13
Adam12	-4.59507192950883	3.24637617843174	-37.9272019413968	2.8122147632307e-15	6.03200804968031e-13
Cx3cl1	-2.8140498972907	4.83229224397768	-37.6794530734625	3.05829180429172e-15	6.47118014481078e-13
Prrx1	-2.75331795554641	6.67378711036353	-37.5924147142043	3.15322004553204e-15	6.5055929437613e-13
Fam83d	-2.28536693744249	6.4055660482911	-37.5883170441268	3.15765144798735e-15	6.5055929437613e-13
Smarca2	6.26377737278265	3.26632469982033	37.4562205427805	3.3544462712291e-15	6.7132691966817e-13
Optn	3.3107471022752	4.37188238940449	37.4049199170333	3.36944001314377e-15	6.7132691966817e-13
Klra4	-4.86995457944011	3.34124070235511	-37.4007004775636	3.38707540259199e-15	6.7132691966817e-13
S100a4	-2.77807974452005	7.28959914283721	-37.3392076591854	3.44796201644693e-15	6.74852365669074e-13
Stbd1	3.98187912024936	3.77560569177489	37.1921692199859	3.63643969972063e-15	7.02955219978094e-13
Gm3608	-5.34480034365138	2.98460427881645	-37.1396721221356	3.72535667499845e-15	7.11361400208851e-13
Sulf1	6.54848603940251	3.30878669289564	37.1026096231968	3.8135649426296e-15	7.19431323755353e-13
Gjb3	3.69275010298783	4.58752118031617	36.9762202120249	3.92555652407566e-15	7.26430928329219e-13
Cobl	4.71375318286496	2.7734762490584	36.944716889801	3.98065049429467e-15	7.26430928329219e-13
Nes	-2.12258203165071	8.55538878149018	-36.9290452999312	3.98984926787028e-15	7.26430928329219e-13
Ppp2r5b	2.31096830404908	6.5370694484929	36.8830054354343	4.05619683475574e-15	7.30022184351787e-13
