genes	logFC	AveExpr	t	P.Value	adj.P.Val
Spp1	-4.74637290336461	8.09448334596299	-134.700512574404	1.89485298882336e-22	1.4850640376941e-18
Col1a2	-5.86134406868114	9.16245196788617	-135.120967915966	1.91534666627214e-22	1.4850640376941e-18
Igfbp4	5.73183023735211	6.62048066112186	105.366736263097	5.14615167308079e-21	2.66004579981546e-17
Epb41l1	-3.49717429099411	8.35172214031169	-88.8435213124877	4.43845929273104e-20	1.72067970630951e-16
Angptl2	-3.7053820683354	5.78660597014996	-85.0422790247787	7.99523727838981e-20	2.05028372160346e-16
Ank	-6.40703929541291	5.28899570480141	-85.101522129522	8.98106623067209e-20	2.05028372160346e-16
Ezr	2.8048867866884	9.08640759603461	83.8729254719834	9.25516608707309e-20	2.05028372160346e-16
Ptx3	4.31110521298361	5.38618038667475	79.6869532926856	1.94681783514327e-19	3.77366302119584e-16
Il1rl1	-8.25961713491611	4.76564238298788	-77.1861320984944	3.50997201051405e-19	5.47349824713219e-16
Tmem151a	4.25554459056529	5.90451824875793	76.1695764276741	3.52969513583039e-19	5.47349824713219e-16
Myrf	8.90713283414185	5.20757856951548	75.2189970531996	5.0446114323693e-19	7.1115263165228e-16
Cxcl12	5.87370592139157	4.92512051669828	69.2109784557266	1.35393640308931e-18	1.5156215714758e-15
Akap12	3.23219387387814	6.35080050036194	68.5690876970199	1.35420449424704e-18	1.5156215714758e-15
Aqp5	-5.28649716517923	4.61037900635553	-69.0149535334255	1.36833056043472e-18	1.5156215714758e-15
Gata6	3.92215105019925	4.9032723714642	67.146999302401	1.84288964891204e-18	1.90517931904527e-15
Cyp1b1	8.01438194013523	4.90884849121245	67.0041981066834	2.26361650296523e-18	2.10206801259458e-15
Cavin2	-2.56437619335349	7.35376109192619	-65.748400470973	2.30445322848441e-18	2.10206801259458e-15
Tnfaip2	-4.24379742041414	5.03814705905469	-65.2713084942778	2.72230186789559e-18	2.34526305919205e-15
Krt19	5.28450537832533	5.80436461952433	65.2373570708936	2.88137959267884e-18	2.35166070229846e-15
Lbh	2.49196377907606	6.74925190010807	63.6266778578616	3.5488491589243e-18	2.75160019537196e-15
Src	-2.45653384608238	7.76974861564077	-63.3115073304966	3.78600800401639e-18	2.79569648182296e-15
Epb41l4a	5.12950501104835	4.23076254204984	63.6162764460726	3.99003848486806e-18	2.80233575842451e-15
Gm8730	-6.74926933632972	4.3004051481007	-63.7654378903902	4.1564275774659e-18	2.80233575842451e-15
Ccnd2	4.36129996099857	6.52869985048195	62.0171903103083	5.38468398273187e-18	3.47917893834263e-15
Ppl	6.27478912531745	4.61465252244429	61.9563342164622	5.96232824167896e-18	3.69831296174862e-15
Tmem98	3.73606079613528	5.65413945040848	60.5424074937124	7.18598602925401e-18	4.20729104263005e-15
Adcy7	-3.29906473117431	5.66881628578043	-60.3658451690473	7.3255212582067e-18	4.20729104263005e-15
Loxl4	-3.94911245730357	5.15415792659689	-59.5113600858801	9.10833759839899e-18	5.04439254065618e-15
Col18a1	-3.69667111285703	5.51632196173647	-58.0589887955614	1.24790306625072e-17	6.57068433687226e-15
Nes	-2.12178470170335	8.55542526678679	-57.6664317282817	1.29129698997499e-17	6.57068433687226e-15
Jag1	3.30024780984285	4.71364211024295	57.757596209608	1.3135436541113e-17	6.57068433687226e-15
Rprd1b	-2.41496041563332	7.00692664876012	-57.2206970976917	1.44041571192911e-17	6.79664298253704e-15
2900097C17Rik	-2.37233437573391	7.38058098675185	-57.1980294117718	1.44637401446909e-17	6.79664298253704e-15
Gm9625	-5.8905886001966	4.55324943911895	-57.5662460128465	1.54919533045572e-17	7.06569764393437e-15
Rbl1	-2.70540222967935	7.10581159218181	-56.5290833088612	1.70623315984715e-17	7.55958788849994e-15
Smpd3	9.94104065803997	4.64175795189084	57.5515489329678	1.79480917453149e-17	7.66575724189681e-15
Gpc1	-3.15345180282588	7.16259252425157	-56.3028509262372	1.8290644093002e-17	7.66575724189681e-15
Fam83d	-2.28456781600389	6.40560253358771	-55.9688241383602	1.92323432378054e-17	7.8483143839118e-15
Adgra2	-3.00864502483727	7.39509427805577	-55.9306674058618	1.985254285152e-17	7.89367646150054e-15
Afap1l2	5.08691641336	3.69658299450855	55.9426481606198	2.17861471005652e-17	8.44594457721161e-15
Hspb8	-5.89698342559496	3.53615087985514	-55.9933683965615	2.23484673842971e-17	8.45262643239743e-15
Fgfr1	-2.80885268388369	6.01038872507066	-55.15116041125	2.37235211631829e-17	8.75906292089231e-15
Ppp2r5b	2.31176363528383	6.53710593378951	54.5846472369116	2.67922790487019e-17	9.66204351647026e-15
Rasa3	-2.28577237062789	6.66372356476871	-54.4729725873433	2.75100980149598e-17	9.69543386177232e-15
Dcn	5.7038789406126	3.66698218571474	54.9134711876009	2.8657054472383e-17	9.87522097118319e-15
Aqp1	-8.17744109506415	4.00014567625895	-54.637812293268	3.37975000112029e-17	1.12361611780828e-14
Sox9	-4.60984039827715	4.03200428345786	-53.9892035252325	3.40555604159343e-17	1.12361611780828e-14
Myo1d	2.78024134758261	6.00702028759338	53.2760679088366	3.74291165703125e-17	1.20919439719966e-14
Ahcy	-2.27788019120698	7.09881026816695	-52.3603364291329	4.63792445453241e-17	1.46776111258029e-14
Oaf	-4.46592780154801	4.98190811810837	-52.5904189064198	4.78366720934264e-17	1.48360654830553e-14
Slco3a1	-3.90578104019138	3.69597102233251	-52.3732370308814	4.91849243604064e-17	1.49551102364083e-14
Acta2	2.92234925139584	7.87570814645922	52.0042296233715	5.17612640217126e-17	1.54358061766288e-14
Shroom3	4.29103555424641	3.89755926318681	52.1310390911948	5.32616470799237e-17	1.55835539861958e-14
Pear1	-3.73720885308581	5.92491532362076	-51.4393535155556	6.18884428914992e-17	1.77648357644388e-14
Timp3	3.59431943542762	7.63131207165184	51.3441558669563	6.30080587505083e-17	1.77648357644388e-14
Rps3a3	-8.77335785803239	3.63566765862659	-51.9364589992508	6.73409228112392e-17	1.85852318979802e-14
Mecom	-3.02685275609243	4.47452207565876	-50.9380705605956	6.83148396327381e-17	1.85852318979802e-14
Cx3cl1	-2.81325541818089	4.83232872927429	-50.7418796844729	7.13218303598559e-17	1.88378032636685e-14
Prrx1	-2.75251969557101	6.67382359566014	-50.7149818945313	7.16728182470138e-17	1.88378032636685e-14
Man2a2	-2.39600212669376	6.49894994043246	-50.4997713270313	7.50021152408935e-17	1.91053536790153e-14
Ndrg3	-2.04011443047251	6.7500854202425	-50.462368635319	7.51548703437114e-17	1.91053536790153e-14
S100a4	-2.77729025615581	7.28963562813382	-50.4628941373338	7.66114491111203e-17	1.91615119575184e-14
Pawr	3.70351637633203	4.0587130550679	50.2134493196579	8.49674630933169e-17	2.05615679644393e-14
H19	-3.64667279565515	5.02634495908834	-50.1787029097749	8.55245627048304e-17	2.05615679644393e-14
B4galt4	6.07350684507017	3.04288144788672	50.5847014173935	8.61870070089996e-17	2.05615679644393e-14
Tti1	-2.08645459600701	5.94400822376746	-49.8073794799796	8.93757891832286e-17	2.09992479221868e-14
Gm2115	-3.36548080186848	4.34990193785647	-49.6588578165958	9.69109956898924e-17	2.24298329875099e-14
Irgm1	2.68860862390635	4.70869549595075	49.48799616745	9.88207891773709e-17	2.2461439293779e-14
Pkp1	-2.40828790161145	5.95505058066821	-49.4145471224955	9.99444967608663e-17	2.2461439293779e-14
Loxl1	-2.55859916227622	6.75707509265028	-49.1446427205787	1.078932374903e-16	2.38561446744608e-14
Nr2f2	-1.99426198796552	6.59210773750359	-49.0502786563846	1.09227205254834e-16	2.38561446744608e-14
