genes	logFC	AveExpr	t	P.Value	adj.P.Val
Col1a2	-5.72896747155574	9.16241548258956	-127.631711577341	2.94014315402239e-22	2.96676199007256e-18
Spp1	-4.59532677944571	8.09444686066638	-124.937119480638	3.78945202461689e-22	2.96676199007256e-18
Igfbp4	5.71489070431515	6.62044417582525	100.836380040086	6.79184373670303e-21	3.54488964097654e-17
Ank	-6.47416333417786	5.2889592195048	-83.700743199626	8.30464986820143e-20	2.4452388130711e-16
Ezr	2.9892028670044	9.086371110738	83.0769683337953	8.46342994127251e-20	2.4452388130711e-16
Epb41l1	-3.48005638133354	8.35168565501508	-82.4801127483937	9.36992775477494e-20	2.4452388130711e-16
Angptl2	-3.54605652553533	5.78656948485335	-77.9309248761095	1.99609074173107e-19	4.46496983343216e-16
Myrf	8.99413042910547	5.20754208421887	74.2816127247724	4.39445961978298e-19	8.60105609082023e-16
Tmem151a	4.20906576652354	5.90448176346132	70.9420515497487	7.05484379437962e-19	1.22738604591551e-15
Cxcl12	6.14791717849945	4.92508403140167	70.1585270974269	8.61505572160065e-19	1.34894542488823e-15
Il1rl1	-8.84714386005114	4.76560589769127	-69.54453722947	1.05169203122126e-18	1.49703580226022e-15
Ptx3	3.94881759403305	5.38614390137814	67.9233248598376	1.25164254074821e-18	1.55452821862279e-15
Aqp5	-5.19837512840902	4.61034252105893	-67.9175944119512	1.29064164274468e-18	1.55452821862279e-15
Akap12	3.37926129084057	6.35076401506533	67.3100506956907	1.39924266996259e-18	1.56495298044816e-15
Krt19	5.44667665098186	5.80432813422772	64.7840926630493	2.43611023408763e-18	2.54297426968961e-15
Lbh	2.71933774048377	6.74921541481146	64.1778183014512	2.62013329201515e-18	2.56412794289833e-15
Gm8730	-6.68461055355995	4.30036866280409	-63.9475998617719	3.00565669032721e-18	2.76838661512609e-15
Tnfaip2	-4.33802029302217	5.03811057375808	-63.0726089139353	3.38017602683502e-18	2.94037756823237e-15
