genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Fmnl1	-0.571598345563693	6.01329187159847	-13.5673845444023	4.28704540337162e-10	2.25181338228758e-09	12.411649727405
Itga3	-0.300173504953142	8.56967202263155	-8.59152127454887	2.47757423622962e-07	7.26476730166357e-07	5.55598417869422
Csf1	-0.229119013209301	9.19439559591619	-7.33920499665397	1.84771292165818e-06	4.6342285643639e-06	3.42595715351498
Erfe	-0.328910982523026	5.23369764247805	-6.50805833250597	7.85427525199601e-06	1.78649392643454e-05	2.19159649967628
Shmt1	-0.229684008860136	6.63160577955145	-6.17265472906939	1.44653179725777e-05	3.16691762883978e-05	1.4011679119338
Ifrd2	-0.228623687335373	6.57852288022144	-6.09147539385959	1.68084338148656e-05	3.64070350910453e-05	1.25128311318404
1700017B05Rik	-0.243858299290491	5.68906314441573	-5.91017925301043	2.35799617470717e-05	4.99141599345205e-05	0.98598095612622
Set	-0.185053872981653	8.89791989659249	-5.83532804408137	2.71521937598413e-05	5.69446892434496e-05	0.633738090893191
Wdr12	-0.208124409658802	6.30624557808701	-5.67627680337943	3.67335777179039e-05	7.54921065634517e-05	0.461577628052211
Heatr1	-0.208110012740252	7.45361165549846	-5.65460150017117	3.8288125834423e-05	7.84192902963238e-05	0.341372814881948
Ppm1g	-0.192019588842507	8.33178045629782	-5.64547003472682	3.89632943888158e-05	7.97082915521397e-05	0.281148803855622
Trmt61a	-0.281396974386777	4.77778015688413	-5.33544316396836	7.09901447391035e-05	0.000140136622078276	-0.006546792610024
Prodh	-0.332225038850053	3.3343163835006	-4.44213611608021	0.000426306602313548	0.000751870779345071	-1.50144137227842
Kmt5a	-0.171064221644196	8.13007715560513	-4.68872226184828	0.000257692526950946	0.000468689695318609	-1.65693153409812
Nkain1	-0.243893954669435	5.36369244187056	-4.57717642657057	0.000323359768094806	0.000580172710992148	-1.67218189819088
Chchd4	-0.19231774385104	5.33355692169099	-4.51510730311894	0.000367086582796626	0.000652941237467859	-1.7970365245418
3110082I17Rik	-0.185287932327042	5.46196059589311	-4.44374113108894	0.000424904355726486	0.000749819948378825	-1.96849782253401
Nop16	-0.204826132023018	6.3726664463761	-4.40618868748401	0.000458980937051491	0.00080568649241617	-2.14254080607975
Ung	-0.219404282953825	5.44362889504453	-4.29777933825243	0.000573853299139719	0.000994179570472419	-2.2727272147654
Zbtb2	-0.203286931754955	4.45305002202976	-4.16644917735897	0.000753077030551084	0.00128659903375547	-2.37185644361474
Bend3	-0.196503563018279	5.25752703358359	-4.20593285281063	0.000693898048264316	0.00118977832235246	-2.4320301118588
Espl1	-0.134126649804265	7.80888469798943	-4.1486126203143	0.000781467697879775	0.00133118159414725	-2.77313004002702
Gm45592	-0.931107699671439	-1.55991779775693	-3.13184507043075	0.00654466572020452	0.00975129658834926	-2.77911151938863
Mllt6	-0.141736113106313	6.23983674837951	-4.09406735827737	0.000875213356117756	0.00147960383611443	-2.78661601469026
Bzw2	-0.157039494596206	7.02626250442781	-4.04624553917649	0.000966754574770833	0.00162353919950619	-2.94772783928471
Pif1	-0.17775565924094	5.08390658681959	-3.85107379345575	0.00145265253967987	0.00238373857328729	-3.14798873794417
Slc29a1	-0.147792219594836	7.24330138754749	-3.94680553755958	0.00118938692156705	0.00197763835806488	-3.16893325002797
Pparg	-0.315002377880334	2.27979888303734	-3.48484364208189	0.00312834448670571	0.00487156817233595	-3.20900657524321
Arglu1	-0.165183361728158	7.30792775847079	-3.87575434396859	0.00137961685305164	0.00227103034956714	-3.32069089550544
Rpf2	-0.140120403606257	6.1069952329632	-3.77709461611518	0.00169577971136226	0.00275326822070824	-3.44610673978514
Ddx24	-0.132255014807172	6.87328466228176	-3.77856007725496	0.00169058650860488	0.00274512118134763	-3.5019225579893
