genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Manf	0.412894703810379	7.26060049497299	8.89981768170646	1.55617197563621e-07	4.75444698429497e-07	6.098365032232
Rassf2	0.508066788089111	3.6153685176754	8.48445520971409	2.91952107564766e-07	8.43896271044694e-07	5.93538367526309
Entpd5	0.344472349885551	4.72266844058995	6.91110228457398	3.84820583213571e-06	9.17405708276202e-06	3.00217495496297
Kdm4b	0.339552828486129	5.27628423525699	6.37757573498597	9.94234766484981e-06	2.22618732641525e-05	1.91806391980321
Pnrc1	0.34092811508701	4.46225194243877	6.13202420387781	1.55923488894963e-05	3.39656370216657e-05	1.58433195287568
Cdk2ap2	0.251838056218468	6.05683624100506	5.40724784563928	6.17129927059254e-05	0.00012303310921688	-0.0582379390320753
Dhrs7	0.487985253376587	1.89266285977306	4.78025853960171	0.000214097305616852	0.000394438829432718	-0.431540865559834
Ypel5	0.256111882012073	4.53089467049932	5.0748317296506	0.000118653745050301	0.000226958262887566	-0.5178578467227
Trib3	0.243128262243154	6.17380873917724	5.15735761963552	0.00010075127388649	0.000194809020315469	-0.580883535402103
Cry1	0.235363133002152	5.06887234082757	5.07196889013062	0.000119330606728543	0.000228169329607464	-0.620137709897568
Plk3	0.252990217564946	4.89480690209425	4.83648322948623	0.000191144502488434	0.000354824021335377	-1.06700982532768
Golga5	0.191244046552985	5.37058276744689	4.77109661104747	0.000218097361666207	0.000401147479028482	-1.28019123961824
Crybg1	0.248129101283649	6.47098139247994	4.65055942201285	0.000292938434311912	0.000528863138989498	-1.68436256416116
Serp1	0.155738689791365	7.97872270335919	4.58156354353992	0.000320478330580821	0.000575398429106123	-1.87603714684164
Trp53inp1	0.508805118309297	2.02732364695203	4.06357066137062	0.000932519766998333	0.00157054904933418	-1.93034611363658
Mia3	0.160961951580219	6.60772181187044	4.18858367434595	0.000719296475890197	0.00123143934173286	-2.62277984815422
Gpd1l	0.181804917066601	5.019030532757	4.09123531668077	0.000880381241266437	0.00148753744207941	-2.64839089080463
Kctd18	0.232116085994056	3.52999336331355	3.89694836997477	0.00131986115985162	0.00217907908487522	-2.72521067914446
Akap17b	0.311074352546527	2.51526839992053	3.69912896066096	0.00199650433713923	0.00320727043304874	-2.84812230656349
Slc6a4	0.94247010445851	-1.66394375754923	3.10195547204643	0.00696487376947478	0.0103390209975764	-2.95309242705728
Pqlc3	0.220636367324471	3.86409653713488	3.82610352539787	0.00153051557572213	0.00250285252059083	-2.96455447304567
Mbd4	0.224227275139159	4.17561172575698	3.8575983412592	0.001432973842267	0.00235341980514124	-2.97061113160768
Vcan	0.588231484317933	7.54940399031873	4.87083061683792	0.0017084264697125	0.00277265149904212	-2.98910133184191
Gm27861	0.801616684773543	-1.1103169671903	3.05639137789359	0.00765698793102033	0.0112968168306715	-3.12401386057817
Sec23b	0.13647364423564	6.70918760600003	3.88030902115926	0.00136654891784117	0.00225093866563824	-3.27954516823661
Tmem184c	0.166653039017893	6.01040978183282	3.81842243204822	0.00155530286270647	0.00254020363244581	-3.35146564039585
Dusp8	0.170403031412053	4.49081546428103	3.70556897139572	0.00196975218393969	0.00316786973049792	-3.35671933019044
Cirbp	0.204745389716649	4.0468221233191	3.65043611361629	0.0022109428122225	0.00352678713873064	-3.38750167939071
Slc2a8	0.24456602200487	2.96222004205912	3.40390117162131	0.00370656254123118	0.0057151507898176	-3.6014174808677
Angptl6	0.607942198801379	0.250497491149615	3.02519779421333	0.00816930655490032	0.0119984055939057	-3.60543748254181
Higd1a	0.345324258422023	4.98967830928899	3.86088285363772	0.00292612751784419	0.00458081430457951	-3.65356709725446
Slc37a3	0.166649874839964	5.75914497543206	3.62700754352864	0.00232220741340611	0.00369260929004904	-3.73131963713388
Appl2	0.172780285727339	4.31850705745537	3.51030136144488	0.00296579549975367	0.0046387399795368	-3.73832439622251
Selenok	0.163556412259972	5.22333210980417	3.49653430922103	0.00305262312334808	0.00475980610091458	-3.93708105000906
